interaction_type,AC,poll_question,user_id,where,who,gender,poll_option_orig,poll_option_recoded_close_to_original,poll_option_recoded_lower_resolution,poll_option_interpretation_recoding,impacts_on_item_of_column_I,system,WP2,WP3,WP4,WP5,WP6,nr_WPs,duplicated_in_col-J_poll_option_recoded_lower_resolution,,Row_number,Row_static
individual,kickoff,NA,NSSCI02,North_Sea,Scientist,Man,sprat,sprat,,,,ecological,0,1,0,0,1,2,,,24,24
individual,kickoff,NA,NSSCI02,North_Sea,Scientist,Man,seabass,seabass,,,,ecological,0,1,0,0,1,2,,,25,25
individual,kickoff,NA,NSSCI02,North_Sea,Scientist,Man,mullet,mullet,,,,ecological,0,1,0,0,1,2,,,26,26
individual,kickoff,NA,NSSCI02,North_Sea,Scientist,Man,rays,rays,,,,ecological,0,0,1,0,1,2,,,27,27
individual,kickoff,NA,NSSCI02,North_Sea,Scientist,Man,hake ,hake ,,,,ecological,0,1,0,0,1,2,,,28,28
individual,kickoff,NA,NSSCI02,North_Sea,Scientist,Man,shrimps,shrimps,,,,ecological,0,1,0,0,1,2,,,29,29
individual,kickoff,NA,NSSCI02,North_Sea,Scientist,Man,sandeel,sandeel,,,,ecological,0,1,0,0,1,2,,,30,30
individual,kickoff,NA,NSSCI02,North_Sea,Scientist,Man,sole,sole,,,,ecological,0,1,0,0,1,2,,,31,31
individual,kickoff,NA,NSSCI02,North_Sea,Scientist,Man,monkfish,monkfish,,,,ecological,0,0,1,0,1,2,,,32,32
individual,kickoff,NA,NSSCI02,North_Sea,Scientist,Man,Healthy fisheries resources,commercial fish/shellfish,commercial fish/shellfish,,fish ,ecological,0,1,0,1,1,3,,,33,33
individual,kickoff,NA,NSSCI02,North_Sea,Scientist,Man,Sustainable fisheries,fisheries,fisheries,,fish ,fisheries,1,0,0,0,1,2,,,34,34
individual,kickoff,NA,NSSCI02,North_Sea,Scientist,Man,cummulative pressures,cummulative effects,cummulative effects,,fish ,both,0,1,0,1,1,3,,,35,35
individual,kickoff,NA,NSSCI02,North_Sea,Scientist,Man,Land to sea impacts,land-sea interactions,,,fish ,social,1,0,0,1,1,3,,,36,36
individual,kickoff,NA,NSSCI02,North_Sea,Scientist,Man,Managing fisheries together with other pressures on habitats and resources,management,,,fish ,social,1,0,0,0,1,2,,,37,37
individual,kickoff,NA,NSSCI02,North_Sea,Scientist,Man,Managing fisheries together with other pressures on habitats and resources,habitats,,,fish ,ecological,0,1,1,1,1,4,,,38,38
individual,kickoff,NA,NSSCI02,North_Sea,Scientist,Man,Managing fisheries together with other pressures on habitats and resources,pressures,,,fish ,ecological,0,1,0,1,1,3,,,39,39
individual,kickoff,NA,NSSCI02,North_Sea,Scientist,Man,Managing fisheries together with other pressures on habitats and resources,resources,,,fish ,ecological,0,1,0,0,1,2,,,40,40
individual,kickoff,NA,NSSCI03,North_Sea,Scientist,Woman,North Sea contribution to global food security,food supply,food supply,,,social,1,0,0,0,1,2,,,41,41
individual,kickoff,NA,NSSCI03,North_Sea,Scientist,Woman,Fishing communities,fishing communities,society,,,social,1,0,0,0,1,2,,,42,42
individual,kickoff,NA,NSSCI03,North_Sea,Scientist,Woman,jobs,employment,jobs,,,social,1,0,0,0,1,2,,,43,43
individual,kickoff,NA,NSSCI03,North_Sea,Scientist,Woman,euro,fisheries revenues,fisheries revenues,,fishing vessel ,social,1,0,0,0,1,2,,,44,44
individual,kickoff,NA,NSSCI03,North_Sea,Scientist,Woman,social cult value,cultural values,cultural values,,,social,1,0,0,0,1,2,,,45,45
individual,kickoff,NA,NSSCI03,North_Sea,Scientist,Woman,Better understanding of fisher behaviour,fisher behaviour,fisher conditions,,Governance,fisheries,1,0,0,0,1,2,,,46,46
individual,kickoff,NA,NSSCI03,North_Sea,Scientist,Woman,Governance,governance,governance,,Better understanding of fisher behaviour,social,1,0,0,0,1,2,,,47,47
individual,kickoff,NA,NSSCI03,North_Sea,Scientist,Woman,fishing vessel ,fishing,fisheries,,"Better understanding of fisher behaviour, jobs, euro, social cult value, fishing communities, MPAs, windfarms",fisheries,1,0,0,0,1,2,,,48,48
individual,kickoff,NA,NSSCI03,North_Sea,Scientist,Woman,windfarms,windfarms,,,"MPAs, fishing vessel",social,0,0,0,1,1,2,,,49,49
individual,kickoff,NA,NSSCI03,North_Sea,Scientist,Woman,MPAs,MPAs,,,"windfarms, fishing vessel",social,1,0,0,1,1,3,,,50,50
individual,kickoff,NA,NSSCI04,North_Sea/Western_waters,Scientist,Woman,Economic  and societal benefits,economic benefits,economics,,,social,1,0,0,0,1,2,,,51,51
individual,kickoff,NA,NSSCI04,North_Sea/Western_waters,Scientist,Woman,Economic  and societal benefits,societal benefits,,,,social,1,0,0,0,1,2,,,52,52
individual,kickoff,NA,NSSCI04,North_Sea/Western_waters,Scientist,Woman,Spatial mangement,spatial management,,,,social,1,0,0,1,1,3,,,53,53
individual,kickoff,NA,NSSCI04,North_Sea/Western_waters,Scientist,Woman,MPAs,MPAs,,,,social,1,0,0,1,1,3,,,54,54
individual,kickoff,NA,NSSCI04,North_Sea/Western_waters,Scientist,Woman,Seabed function,seabed function,,,,ecological,0,0,1,0,1,2,,,55,55
individual,kickoff,NA,NSSCI04,North_Sea/Western_waters,Scientist,Woman,"Services, biodiversity",services,,,,social,1,0,0,0,1,2,,,56,56
individual,kickoff,NA,NSSCI04,North_Sea/Western_waters,Scientist,Woman,"Services, biodiversity",biodiversity,biodiversity,,,ecological,0,0,1,0,1,2,,,57,57
individual,kickoff,NA,NSSCI04,North_Sea/Western_waters,Scientist,Woman,Pressures/recovery,pressures,,,,social,1,0,0,0,1,2,,,58,58
individual,kickoff,NA,NSSCI04,North_Sea/Western_waters,Scientist,Woman,Pressures/recovery,recovery,,,,ecological,0,1,0,0,1,2,,,59,59
individual,kickoff,NA,NSSCI04,North_Sea/Western_waters,Scientist,Woman,fishing vessel ,fishing vessels,fisheries,,,fisheries,1,0,0,0,1,2,,,60,60
individual,kickoff,NA,NSSCI04,North_Sea/Western_waters,Scientist,Woman,windfarms,windfarms,,,,social,0,0,0,1,1,2,,,61,61
individual,kickoff,NA,NSSCI04,North_Sea/Western_waters,Scientist,Woman,global warming,climate change,climate change,,,ecological,0,1,0,1,1,3,,,62,62
individual,kickoff,NA,NSSCI04,North_Sea/Western_waters,Scientist,Woman,"Interactions between pressures and seabed services (carbon, food provision, Nutrient cycling)",carbon storage,carbon storage,,,social,1,0,0,0,1,2,,,63,63
individual,kickoff,NA,NSSCI04,North_Sea/Western_waters,Scientist,Woman,"Interactions between pressures and seabed services (carbon, food provision, Nutrient cycling)",food supply,food supply,,,social,1,0,0,0,1,2,,,64,64
individual,kickoff,NA,NSSCI04,North_Sea/Western_waters,Scientist,Woman,"Interactions between pressures and seabed services (carbon, food provision, Nutrient cycling)",nutrients,,,,social,1,0,0,0,1,2,,,65,65
individual,kickoff,NA,NSSCI04,North_Sea/Western_waters,Scientist,Woman,"Impacts of forcing (Climate, fishing, OWFs)",climate,climate change,,,ecological,0,1,0,1,1,3,,,66,66
individual,kickoff,NA,NSSCI04,North_Sea/Western_waters,Scientist,Woman,"Impacts of forcing (Climate, fishing, OWFs)",fishing,fisheries,,,fisheries,1,0,0,0,1,2,,,67,67
individual,kickoff,NA,NSSCI04,North_Sea/Western_waters,Scientist,Woman,"Impacts of forcing (Climate, fishing, OWFs)",windfarms,,,,social,0,0,0,1,1,2,,,68,68
individual,kickoff,NA,NSSCI04,North_Sea/Western_waters,Scientist,Woman,Implications of spatial management approaches,spatial management,,,,social,1,0,0,1,1,3,,,69,69
individual,kickoff,NA,NSSCI04,North_Sea/Western_waters,Scientist,Woman,Outcomes and feedbacks for and from society and economics,society,,,,social,1,0,0,0,1,2,,,70,70
individual,kickoff,NA,NSSCI04,North_Sea/Western_waters,Scientist,Woman,Outcomes and feedbacks for and from society and economics,economics,economics,,,social,1,0,0,0,1,2,,,71,71
individual,kickoff,NA,NSSCI04,North_Sea/Western_waters,Scientist,Woman,"Tools to help explore management scenarios and track various indicators – GES, Ecosystem ",tools,,,,social,1,0,0,0,1,2,,,72,72
individual,kickoff,NA,NSSCI04,North_Sea/Western_waters,Scientist,Woman,"Tools to help explore management scenarios and track various indicators – GES, Ecosystem ",management scenarios,,,,social,1,0,0,0,1,2,,,73,73
individual,kickoff,NA,NSSCI04,North_Sea/Western_waters,Scientist,Woman,"Tools to help explore management scenarios and track various indicators – GES, Ecosystem ",indicators,,,,ecological,0,1,0,1,1,3,,,74,74
individual,kickoff,NA,NSSCI04,North_Sea/Western_waters,Scientist,Woman,"Tools to help explore management scenarios and track various indicators – GES, Ecosystem ",ecosystem,ecosystem,,,both,0,0,1,0,1,2,,,75,75
individual,kickoff,NA,NSSCI04,North_Sea/Western_waters,Scientist,Woman,"Tools to help explore management scenarios and track various indicators – GES, Ecosystem ",GES,,,,ecological,0,1,0,1,1,3,,,76,76
individual,kickoff,NA,NSSCI04,North_Sea/Western_waters,Scientist,Woman,Services (eg climate regulation),services,,,,social,1,0,0,0,1,2,,,77,77
individual,kickoff,NA,NSSCI04,North_Sea/Western_waters,Scientist,Woman,Services (eg climate regulation),carbon storage,carbon storage,,,ecological,1,0,0,0,1,2,,,78,78
individual,kickoff,NA,NSSCI05,North_Sea,Scientist,Woman,sole,sole,,,cod,ecological,0,1,0,0,1,2,,,79,79
individual,kickoff,NA,NSSCI05,North_Sea,Scientist,Woman,shrimps,shrimps,,,"sole, sea bass",ecological,0,1,0,0,1,2,,,80,80
individual,kickoff,NA,NSSCI05,North_Sea,Scientist,Woman,seabass,seabass,,,"cod, small fishing vessel, large fishing vessel",ecological,0,1,0,0,1,2,,,81,81
individual,kickoff,NA,NSSCI05,North_Sea,Scientist,Woman,cod,cod,commercial fish/shellfish,,cod,ecological,0,1,0,0,1,2,,,82,82
individual,kickoff,NA,NSSCI05,North_Sea,Scientist,Woman,food dependent growth,food dependent growth,fish productivity,,,ecological,0,1,0,0,1,2,,,83,83
individual,kickoff,NA,NSSCI05,North_Sea,Scientist,Woman,food dependent reproduction,food dependent reproduction,fish productivity,,,ecological,0,1,0,0,1,2,,,84,84
individual,kickoff,NA,NSSCI05,North_Sea,Scientist,Woman,"size based interaction, including fisheries",size based interaction,,,,ecological,0,0,1,0,1,2,,,85,85
individual,kickoff,NA,NSSCI05,North_Sea,Scientist,Woman,"size based interaction, including fisheries",size based fisheries,,,,fisheries,1,0,0,0,1,2,,,86,86
individual,kickoff,NA,NSSCI05,North_Sea,Scientist,Woman,large vessels,large-scale fisheries,,,fished stocks,fisheries,1,0,0,0,1,2,,,87,87
individual,kickoff,NA,NSSCI05,North_Sea,Scientist,Woman,small vessels,small-scale fisheries,,,,fisheries,1,0,0,0,1,2,,,88,88
individual,kickoff,NA,NSSCI05,North_Sea,Scientist,Woman,fishing net,fishing net,fishing gear,,,fisheries,1,0,0,0,1,2,,,89,89
individual,kickoff,NA,NSSCI05,North_Sea,Scientist,Woman,climate change in terms of temperature and tolerance ranges,climate change,climate change,,,ecological,0,1,0,1,1,3,,,90,90
individual,kickoff,NA,NSSCI05,North_Sea,Scientist,Woman,climate change in terms of temperature and tolerance ranges,temperature,,,,ecological,0,1,0,0,1,2,,,91,91
individual,kickoff,NA,NSSCI05,North_Sea,Scientist,Woman,climate change in terms of temperature and tolerance ranges,tolerance ranges,,,,ecological,0,1,0,0,1,2,,,92,92
individual,kickoff,NA,NSSCI05,North_Sea,Scientist,Woman,spatially explicit,spatially explicit,,,,ecological,0,1,0,1,1,3,,,93,93
individual,kickoff,NA,NSSCI05,North_Sea,Scientist,Woman,dynamic interactions between agents (vessels/piscivores) and their prey,dynamic interactions,fisher conditions,,,ecological,0,1,0,1,1,3,,,94,94
individual,kickoff,NA,NSSCI05,North_Sea,Scientist,Woman,dynamic interactions between agents (vessels/piscivores) and their prey,fishers,fisher conditions,,,fisheries,1,0,0,0,1,2,,,95,95
individual,kickoff,NA,NSSCI05,North_Sea,Scientist,Woman,dynamic interactions between agents (vessels/piscivores) and their prey,piscivores,,,,ecological,0,1,0,0,1,2,,,96,96
individual,kickoff,NA,NSSCI05,North_Sea,Scientist,Woman,dynamic interactions between agents (vessels/piscivores) and their prey,prey,,,,ecological,0,0,1,0,1,2,,,97,97
individual,kickoff,NA,NSSCI05,North_Sea,Scientist,Woman,relative changes in the food web and catch when comparing (management) scenarios. Such as area closure; size selection and climate scenarios,foodweb,food web,,,ecological,0,1,1,0,1,3,,,98,98
individual,kickoff,NA,NSSCI05,North_Sea,Scientist,Woman,relative changes in the food web and catch when comparing (management) scenarios. Such as area closure; size selection and climate scenarios,catch,management measure,,,ecological,0,1,0,0,1,2,,,99,99
individual,kickoff,NA,NSSCI05,North_Sea,Scientist,Woman,relative changes in the food web and catch when comparing (management) scenarios. Such as area closure; size selection and climate scenarios,management scenarios,,,,social,1,0,0,0,1,2,,,100,100
individual,kickoff,NA,NSSCI05,North_Sea,Scientist,Woman,relative changes in the food web and catch when comparing (management) scenarios. Such as area closure; size selection and climate scenarios,MPAs,,,,social,1,0,0,1,1,3,,,101,101
individual,kickoff,NA,NSSCI05,North_Sea,Scientist,Woman,relative changes in the food web and catch when comparing (management) scenarios. Such as area closure; size selection and climate scenarios,gear selectivity,,,,fisheries,1,0,0,0,1,2,,,102,102
individual,kickoff,NA,NSSCI05,North_Sea,Scientist,Woman,relative changes in the food web and catch when comparing (management) scenarios. Such as area closure; size selection and climate scenarios,climate change,climate change,,,ecological,0,1,0,1,1,3,,,103,103
individual,kickoff,NA,NSSCI06,North_Sea,Scientist,Man,fisheries bycatch,bycatch,bycatch,,top predators,ecological,0,0,1,0,1,2,,,104,104
individual,kickoff,NA,NSSCI06,North_Sea,Scientist,Man,combined impact of fisheries and climate,cummulative effects,cummulative effects,,top predator prey,both,0,1,0,1,1,3,,,105,105
individual,kickoff,NA,NSSCI06,North_Sea,Scientist,Man,combined impact of fisheries and climate,fisheries,fisheries,,top predator prey,fisheries,1,0,0,0,1,2,,,106,106
individual,kickoff,NA,NSSCI06,North_Sea,Scientist,Man,combined impact of fisheries and climate,climate,climate change,,top predator prey,ecological,0,1,0,1,1,3,,,107,107
individual,kickoff,NA,NSSCI06,North_Sea,Scientist,Man,top predator prey,top predator prey,,,,ecological,0,1,0,0,1,2,,,108,108
individual,kickoff,NA,NSSCI06,North_Sea,Scientist,Man,global warming,climate change,climate change,,sandeel,ecological,0,1,0,1,1,3,,,109,109
individual,kickoff,NA,NSSCI06,North_Sea,Scientist,Man,sandeel,sandeel,,,"sharks, marine mammals, seabirds",ecological,0,1,0,0,1,2,,,110,110
individual,kickoff,NA,NSSCI06,North_Sea,Scientist,Man,fishing,fishing,fisheries,,"sandeel, sharks, marine mammals",fisheries,1,0,0,0,1,2,,,111,111
individual,kickoff,NA,NSSCI06,North_Sea,Scientist,Man,seabirds,seabirds,,,,ecological,0,0,1,0,1,2,,,112,112
individual,kickoff,NA,NSSCI06,North_Sea,Scientist,Man,marine mammals,marine mammals,,,,ecological,0,0,1,0,1,2,,,113,113
individual,kickoff,NA,NSSCI06,North_Sea,Scientist,Man,sharks,sharks,,,,ecological,0,0,1,0,1,2,,,114,114
individual,kickoff,NA,NSSCI06,North_Sea,Scientist,Man,Economic/social drivers and impacts of activities/management on habitat function and food supply,economic drivers,economics,,,social,1,0,0,0,1,2,,,115,115
individual,kickoff,NA,NSSCI06,North_Sea,Scientist,Man,Economic/social drivers and impacts of activities/management on habitat function and food supply,social drivers,,,,social,1,0,0,0,1,2,,,116,116
individual,kickoff,NA,NSSCI06,North_Sea,Scientist,Man,Economic/social drivers and impacts of activities/management on habitat function and food supply,activities,,,,social,1,0,0,0,1,2,,,117,117
individual,kickoff,NA,NSSCI06,North_Sea,Scientist,Man,Economic/social drivers and impacts of activities/management on habitat function and food supply,management,,,,social,1,0,0,0,1,2,,,118,118
individual,kickoff,NA,NSSCI06,North_Sea,Scientist,Man,Economic/social drivers and impacts of activities/management on habitat function and food supply,habitat function,,,,ecological,0,0,1,1,1,3,,,119,119
individual,kickoff,NA,NSSCI06,North_Sea,Scientist,Man,Economic/social drivers and impacts of activities/management on habitat function and food supply,food supply,food supply,,,social,1,0,0,0,1,2,,,120,120
individual,kickoff,NA,NSSCI06,North_Sea,Scientist,Man,plaice,plaice,,,,ecological,0,1,0,0,1,2,,,121,121
individual,kickoff,NA,NSSCI06,North_Sea,Scientist,Man,sole,sole,,,,ecological,0,1,0,0,1,2,,,122,122
individual,kickoff,NA,NSSCI06,North_Sea,Scientist,Man,benthic habitats,benthic habitats,seabottom habitat,,"plaice, sole",ecological,0,0,1,1,1,3,,,123,123
individual,kickoff,NA,NSSCI06,North_Sea,Scientist,Man,crabs,crabs,commercial fish/shellfish,,"plaice, sole",ecological,0,1,0,0,1,2,,,124,124
individual,kickoff,NA,NSSCI06,North_Sea,Scientist,Man,euro,fisheries revenues,fisheries revenues,,"plaice, sole",social,1,0,0,0,1,2,,,125,125
individual,kickoff,NA,NSSCI06,North_Sea,Scientist,Man,fishing,fishing,fisheries,,"plaice, sole, benthic habitat, crabs, euro",fisheries,1,0,0,0,1,2,,,126,126
individual,kickoff,NA,NSSCI06,North_Sea,Scientist,Man,MPAs,MPAs,,,"plaice, sole",social,1,0,0,1,1,3,,,127,127
individual,kickoff,NA,NSSCI06,North_Sea,Scientist,Man,windfarms,windfarms,,,benthic habitats,social,0,0,0,1,1,2,,,128,128
individual,kickoff,NA,NSSCI06,North_Sea,Scientist,Man,jobs,employment,jobs,,,social,1,0,0,0,1,2,,,129,129
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,Research ICES,research in ICES,,,regulation,social,1,0,0,0,1,2,,,130,130
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,need for more research/experts,research/experts,,,,social,1,0,0,0,1,2,,,131,131
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,delay/gap between advice publication/reality of the field,delayed advice,,,,social,1,0,0,0,1,2,,,132,132
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,need for more reactivity in face to strong changes/variation in the ecosystem,reactivity to change,,,,social,1,0,0,0,1,2,,,133,133
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,need for more reactivity in face to strong changes/variation in the ecosystem,ecosystem,ecosystem,,,both,0,0,1,0,1,2,,,134,134
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,"climate change (temperature increase, acidification increase)",climate change,climate change,,species distribution,ecological,0,1,0,1,1,3,,,135,135
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,"climate change (temperature increase, acidification increase)",temperature,,,species distribution,ecological,0,1,0,0,1,2,,,136,136
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,"climate change (temperature increase, acidification increase)",acidification,climate change,,species distribution,social,1,0,0,0,1,2,,,137,137
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,species distribution,species distribution,,,,ecological,0,1,0,1,1,3,,,138,138
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,pollution,pollution,,,,ecological,0,1,0,0,1,2,,,139,139
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,Mining/subsea cables/CO2 storage,mining,,,fishing zones,social,1,0,0,0,1,2,,,140,140
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,Mining/subsea cables/CO2 storage,cables,other sectors,,fishing zones,social,1,0,0,0,1,2,,,141,141
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,Mining/subsea cables/CO2 storage,carbon storage,carbon storage,,fishing zones,social,1,0,0,0,1,2,,,142,142
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,Windmills/artificialization,windfarms,,,fishing zones,social,0,0,0,1,1,2,,,143,143
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,Windmills/artificialization,artificialization,other sectors,,fishing zones,social,1,0,0,0,1,2,,,144,144
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,Industry,Industry,,,"Windmills/artificialization, Mining/subsea cables/CO2 storage",social,1,0,0,0,1,2,,,145,145
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,Energy demand,energy demand,other sectors,,,social,1,0,0,0,1,2,,,146,146
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,Population growth,population growth,,,Industry,ecological,0,1,0,0,1,2,,,147,147
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,Food,food supply,food supply,,Population growth,social,1,0,0,0,1,2,,,148,148
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,fishing zones,fishing zones,fisheries,,fisheries,fisheries,1,0,0,0,1,2,,,149,149
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,fisheries,fisheries,fisheries,,food,fisheries,1,0,0,0,1,2,,,150,150
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,price (fair?),price,,,fisheries ,social,1,0,0,0,1,2,,,151,151
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,jobs,employment,jobs,,fisheries ,social,1,0,0,0,1,2,,,152,152
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,fishery sector attractiveness for younger generations,younger generation fishers,,,fisheries ,social,1,0,0,0,1,2,,,153,153
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,fishery sector attractiveness for younger generations,fishery sector attractiveness,fisher conditions,,fisheries ,social,1,0,0,0,1,2,,,154,154
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,"cost (vessel, gears, fuel)",vessel cost,,,fisheries ,social,1,0,0,0,1,2,,,155,155
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,"cost (vessel, gears, fuel)",gear cost,,,fisheries ,social,1,0,0,0,1,2,,,156,156
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,"cost (vessel, gears, fuel)",fuel consumption,,,fisheries ,social,1,0,0,0,1,2,,,157,157
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,"cost (vessel, gears, fuel)",cost,economics,,fisheries ,social,1,0,0,0,1,2,,,158,158
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,innovation,innovation,,,cost,social,1,0,0,0,1,2,,,159,159
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,regulation,regulation,,,"innovation, cost",social,1,0,0,0,1,2,,,160,160
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,technical measures,technical measures,,,,social,1,0,0,0,1,2,,,161,161
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,LO/exemptions,Landing obligation,,,,social,1,0,0,0,1,2,,,162,162
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,Area closures (i.e. plaice box),closed areas,spatial management,,,social,1,0,0,1,1,3,,,163,163
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,"Regulate: complexity/incoherence sometimes between regulations, making the enforcement/implementation difficult",regulation incoherence,,,,social,1,0,0,0,1,2,,,164,164
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,"Regulate: complexity/incoherence sometimes between regulations, making the enforcement/implementation difficult",enforcement,practical management,,,social,1,0,0,0,1,2,,,165,165
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,"Regulate: complexity/incoherence sometimes between regulations, making the enforcement/implementation difficult",implementation,,,,social,1,0,0,0,1,2,,,166,166
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,skewness of decision making/lack of proximity with the field,decision making,management implementation,,,social,1,0,0,0,1,2,,,167,167
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,skewness of decision making/lack of proximity with the field,proximity with the field,,,,social,1,0,0,0,1,2,,,168,168
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,Coastal states,coastal states,practical management,,"regulation, North Sea agreements",social,1,0,0,0,1,2,,,169,169
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,Brexit,Brexit,competition for space,,"regulation, North Sea agreements",social,1,0,0,0,1,2,,,170,170
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,Uptake/depends,uptake,,,"fisheries, resource",social,1,0,0,0,1,2,,,171,171
