,SW.ID,SearchID,Authors,Title,Year,Source.title,Volume,Issue,Page.start,Page.end,DOI,Link,Abstract,Language,Document.Type,Open.Access,Database,Exclusion.Criteria,Region,Scale...Spatial..m.,Scale...Temporal,Resolution...Spatial..m.,Resolution...Temporal,Sampling.Method.used.for.data.collection,Analytical.method.used.for.inference,Quality...Spatial..relative.1.3.,Quality...Temporal,Quality...Methods,Concluding.statement.or.quotable.quote,Comments,Species,Life.stage,Environmental.Drivers.,Process,Metric,Direction.of.relationship,Strength.of.relationships,Additional.info.about.response,Driverscategory
59,b3_wos.328,b_wos.328,"NISSLING, A; SOLEMDAL, P; SVENSSON, M; WESTIN, L","SURVIVAL, ACTIVITY AND FEEDING ABILITY OF BALTIC COD (GADUS-MORHUA) YOLK-SAC LARVAE AT DIFFERENT SALINITIES",1994,JOURNAL OF FISH BIOLOGY,45,3,435,445,10.1111/J.1095-8649.1994.TB01326.X,https://doi.org/10.1111/J.1095-8649.1994.TB01326.X,"Due to unfavourable conditions (declines in salinity and water oxygen content) in the spawning areas, there has been a considerable decrease in the Baltic cod stock since the beginning of the 1980s, and consequently a decrease in catches. In order to examine the feasibility of 1980s, and consequently a decrease in catches. In order to examine the feasibility of introducing yolk-sac larvae in areas of low salinity to improve the stock, laboratory experiments were performed on the effects of salinity on the survival, level of activity and feeding ability of larvae. Yolk-sac larvae from spawning cod caught off northern Gotland, Sweden, were exposed to four different salinities: 10 and 15 parts per thousand (salinities of the main spawning areas); and 5 and 7 parts per thousand (salinities in the Bothnian Sea and the Baltic proper respectively). The survival of yolk-sac larvae was high at all salinities, even though there was an indication of higher mortality at low salinities in less viable larval groups. No differences were found in swimming speed or feeding ability at the four salinities, but a significant difference in vertical distribution was recorded. There were significant differences in survival, vertical distribution and feeding ability among larval groups, which indicates that larval quality or viability is of greater importance for larval survival than salinity, in the range of 5-15 parts per thousand.",English,Article,,Web of Science,K,Baltic Sea - CS,"500-1,000",two week,0-5,day,Passive Net/pot/trap capture,average _ log-linear model,3,2,3,NA,NA,Gadus morhua,"early life stages (eggs, larvae)",Salinity,Other,NA,Overall positive response,Medium,NA,CLIMATE & OCEANOGRAPHY
60,m3_sco.113,m_sco.113,"Steenbeek J., Coll M., Gurney L., Mélin F., Hoepffner N., Buszowski J., Christensen V.",Bridging the gap between ecosystem modeling tools and geographic information systems: Driving a food web model with external spatial-temporal data,2013,Ecological Modelling,263,,139,151,10.1016/j.ecolmodel.2013.04.027,https://doi.org/10.1016/j.ecolmodel.2013.04.027,"Research toward the impacts of climate change and human activities on marine ecosystems is challenged by the limitations of present-day ecosystem models to address the interrelated spatial dynamics between climate, ocean chemistry, marine food webs, and human systems. The work presented here, the spatial-temporal data framework, is part of a larger study, the NF-UBC Nereus Program, to develop a new approach to model interoperability for closing the gap between marine ecosystem modeling tools via geographic information systems (GIS) technology. The approach we present simplifies interdisciplinary model interoperability by separating technical and scientific challenges into a flexible and modular software approach. To illustrate capabilities of the new framework, we use a remote-sensing derived spatial and temporal time series to drive the primary production dynamics in an existing food web model of the North-Central Adriatic using the Ecospace module of the Ecopath with Ecosim approach. In general, the predictive capabilities of the food web model to hind-cast ecosystem dynamics are enhanced when applying the new framework by better reflecting observed species population trends and distributions. Results show that changes at the phytoplankton level due to changes in primary production are realistically reproduced and cascade up the pelagic food web. The dynamics of zooplankton and small and large pelagic fish are impacted. Highly exploited demersal species such as European hake do, however, not show clear signs of cascading. This may be due to the high fishing pressure on this species and the resulting strong historical decline in the area. In general, the development of the new framework offers ecosystem modelers with unprecedented capabilities to include spatial-temporal time series into food web analysis with a minimal set of required steps. It is a promising step toward integrating species distribution models and food web dynamics, and future implementations of interdisciplinary model interoperability. © 2013 Elsevier B.V.",English,Article,,Scopus,K,Mediterranean - CS,">100,000",multidecadal,"5,000-10,000",month,NA,Ecospace,3,2,3,NA,NA,Sardina pilchardus,juv and adults,Plankton,Biomass,NA,Mixed response,Small,"The study isn't based on experimental data and maybe and it probably should have been eliminated following the prescreening criteria. In any case, I extracted the information",FOOD
61,m3_sco.113,m_sco.113,"Steenbeek J., Coll M., Gurney L., Mélin F., Hoepffner N., Buszowski J., Christensen V.",Bridging the gap between ecosystem modeling tools and geographic information systems: Driving a food web model with external spatial-temporal data,2013,Ecological Modelling,263,,139,151,10.1016/j.ecolmodel.2013.04.027,https://doi.org/10.1016/j.ecolmodel.2013.04.027,"Research toward the impacts of climate change and human activities on marine ecosystems is challenged by the limitations of present-day ecosystem models to address the interrelated spatial dynamics between climate, ocean chemistry, marine food webs, and human systems. The work presented here, the spatial-temporal data framework, is part of a larger study, the NF-UBC Nereus Program, to develop a new approach to model interoperability for closing the gap between marine ecosystem modeling tools via geographic information systems (GIS) technology. The approach we present simplifies interdisciplinary model interoperability by separating technical and scientific challenges into a flexible and modular software approach. To illustrate capabilities of the new framework, we use a remote-sensing derived spatial and temporal time series to drive the primary production dynamics in an existing food web model of the North-Central Adriatic using the Ecospace module of the Ecopath with Ecosim approach. In general, the predictive capabilities of the food web model to hind-cast ecosystem dynamics are enhanced when applying the new framework by better reflecting observed species population trends and distributions. Results show that changes at the phytoplankton level due to changes in primary production are realistically reproduced and cascade up the pelagic food web. The dynamics of zooplankton and small and large pelagic fish are impacted. Highly exploited demersal species such as European hake do, however, not show clear signs of cascading. This may be due to the high fishing pressure on this species and the resulting strong historical decline in the area. In general, the development of the new framework offers ecosystem modelers with unprecedented capabilities to include spatial-temporal time series into food web analysis with a minimal set of required steps. It is a promising step toward integrating species distribution models and food web dynamics, and future implementations of interdisciplinary model interoperability. © 2013 Elsevier B.V.",English,Article,,Scopus,K,Mediterranean - CS,">100,000",multidecadal,"5,000-10,000",month,NA,Ecospace,3,2,3,NA,NA,Sardina pilchardus,juv and adults,Plankton,Biomass,NA,Mixed response,Small,"The study isn't based on experimental data and maybe and it probably should have been eliminated following the prescreening criteria. In any case, I extracted the information",FOOD
62,m3_sco.113,m_sco.113,"Steenbeek J., Coll M., Gurney L., Mélin F., Hoepffner N., Buszowski J., Christensen V.",Bridging the gap between ecosystem modeling tools and geographic information systems: Driving a food web model with external spatial-temporal data,2013,Ecological Modelling,263,,139,151,10.1016/j.ecolmodel.2013.04.027,https://doi.org/10.1016/j.ecolmodel.2013.04.027,"Research toward the impacts of climate change and human activities on marine ecosystems is challenged by the limitations of present-day ecosystem models to address the interrelated spatial dynamics between climate, ocean chemistry, marine food webs, and human systems. The work presented here, the spatial-temporal data framework, is part of a larger study, the NF-UBC Nereus Program, to develop a new approach to model interoperability for closing the gap between marine ecosystem modeling tools via geographic information systems (GIS) technology. The approach we present simplifies interdisciplinary model interoperability by separating technical and scientific challenges into a flexible and modular software approach. To illustrate capabilities of the new framework, we use a remote-sensing derived spatial and temporal time series to drive the primary production dynamics in an existing food web model of the North-Central Adriatic using the Ecospace module of the Ecopath with Ecosim approach. In general, the predictive capabilities of the food web model to hind-cast ecosystem dynamics are enhanced when applying the new framework by better reflecting observed species population trends and distributions. Results show that changes at the phytoplankton level due to changes in primary production are realistically reproduced and cascade up the pelagic food web. The dynamics of zooplankton and small and large pelagic fish are impacted. Highly exploited demersal species such as European hake do, however, not show clear signs of cascading. This may be due to the high fishing pressure on this species and the resulting strong historical decline in the area. In general, the development of the new framework offers ecosystem modelers with unprecedented capabilities to include spatial-temporal time series into food web analysis with a minimal set of required steps. It is a promising step toward integrating species distribution models and food web dynamics, and future implementations of interdisciplinary model interoperability. © 2013 Elsevier B.V.",English,Article,,Scopus,K,Mediterranean - CS,">100,000",multidecadal,"5,000-10,000",month,NA,Ecospace,3,2,3,NA,NA,Engraulis encrasicolus,juv and adults,Plankton,Biomass,NA,Mixed response,Small,"The study isn't based on experimental data and maybe and it probably should have been eliminated following the prescreening criteria. In any case, I extracted the information",FOOD
63,m3_sco.195,m_sco.195," Marij�c V. F.,  Raspor B.","Metal exposure assessment in native fish, Mullus barbatus L., from the Eastern Adriatic Sea",2007,Toxicology Letters,168,3,292,301,10.1016/j.toxlet.2006.10.026,https://doi.org/10.1016/j.toxlet.2006.10.026,"Metallothionein (MT) and metal (Zn, Cu, Fe, Mn, Cd) association in the cytosol of liver, kidney and intestine was studied on native Mullus barbatus specimens. Investigated parameters of all specimens (1 to 8-year-old) were related to the fish length, which reflects fish growth and aging. Cytosolic metal concentrations in liver, kidney and intestine are tissue specific but in general decrease as follows: Fe ≈ Zn > Cu > Mn > Cd. Metallothionein levels are also tissue specific with the highest level in intestine, followed by kidney and liver. Percentage partition of MT and Zn in liver, kidney and intestine cytosol of red mullet is comparable. Associations of MT and metals that induce MT synthesis exist in liver for MT/Zn (r = 0.28) and MT/Cu (r = 0.26) and in intestine for MT/Cu (r = 0.38). Unlike essential metals, there is no significant correlation between MT and the toxic metal Cd, what is ascribed to its very low cytosolic concentration. The most pronounced size-related accumulation is found for the toxic metal Cd in liver cytosol (r = 0.69), indicating chronic Cd accumulation. Negative correlation between metals (Cd, Zn, Fe, Mn) and the condition factor also indicates chronic metal effects and their metabolic impact. © 2006 Elsevier Ireland Ltd. All rights reserved.",English,Article,,Scopus,K,Mediterranean - CS,Oct-50,two year,Oct-50,two year,Fisheries Dependent Data,regression,3,2,3,NA,NA,Mullus barbatus,adults,Contaminants & Pollution,Condition,NA,Overall negative response,Large,NA,ABIOTIC ANTHROPIC
64,m3_sco.68,m_sco.68,"Mangano M.C., Bottari T., Caridi F., Porporato E.M.D., Rinelli P., Spanò N., Johnson M., Sarà G.",The effectiveness of fish feeding behaviour in mirroring trawling-induced patterns,2017,Marine Environmental Research,131,,195,204,10.1016/j.marenvres.2017.09.004,https://doi.org/10.1016/j.marenvres.2017.09.004,"The ability to observe and predict trawling-induced patterns at spatial and temporal scales that are relevant to inform realistic management strategies is a challenge which scientists have consistently faced in recent decades. Here, we use fish feeding behaviour, a biological trait easily impaired by trawling disturbance, to depict alterations in fish condition (i.e. individual fitness) and feeding opportunities. The benthivorous fish Mullus barbatus barbatus was selected as a model species. The observed trends of responses to trawling in prey species confirmed the effectiveness of a non-trawled zone in sustaining higher levels of diet diversity (e.g. quantity and quality of ingested prey) and fish condition values (e.g. morphometric and physiological Condition Index). Changes observed in fish prey selection confirmed the role of trawling disturbance in modifying the local soft bottoms community, producing alterations of prey availability that trigger shifts in fish diet. Trawling-induced feeding patterns, mirrored through stomach contents, can positively or negatively affect fish condition, the main driver of population dynamics in maintaining carrying capacity levels. Due to the widespread socio-economic value of the red mullet fishery, and the current exploitation status, evidence gathered by the proposed bottom-up trait based approach might inform future trawling adaptation strategies, and tailor spatial conservation measures supporting an Ecosystem-Based Fisheries Management. © 2017 Elsevier Ltd",English,Article,,Scopus,K,Mediterranean - non CS,">100,000",month,"500-1,000",month,Standard Fisheries Survey,average,3,2,3,NA,NA,Mullus barbatus,adults,Prey availability,Condition,NA,Overall negative response,Medium,NA,FOOD
65,n3_sco.266,n_sco.266,"Jansen T., Gislason H.",Temperature affects the timing of spawning and migration of North Sea mackerel,2011,Continental Shelf Research,31,1,64,72,10.1016/j.csr.2010.11.003,https://doi.org/10.1016/j.csr.2010.11.003,"Climate change accentuates the need for knowing how temperature impacts the life history and productivity of economically and ecologically important species of fish. We examine the influence of temperature on the timing of the spawning and migrations of North Sea Mackerel using data from larvae CPR surveys, egg surveys and commercial landings from Danish coastal fisheries in the North Sea, Skagerrak, Kattegat and inner Danish waters. The three independent sources of data all show that there is a significant relationship between the timing of spawning and sea surface temperature. Large mackerel are shown to arrive at the feeding areas before and leave later than small mackerel and the sequential appearance of mackerel in each of the feeding areas studied supports the anecdotal evidence for an eastward post-spawning migration. Occasional commercial catches taken in winter in the Sound N, Kattegat and Skagerrak together with catches in the first quarter IBTS survey furthermore indicate some overwintering here. Significant relationships between temperature and North Sea mackerel spawning and migration have not been documented before. The results have implications for mackerel resource management and monitoring. An increase in temperature is likely to affect the timing and magnitude of the growth, recruitment and migration of North Sea mackerel with subsequent impacts on its sustainable exploitation. © 2010 Elsevier Ltd.",English,Article,,Scopus,K,North Sea - CS,">100,000",multidecadal,">100,000",multidecadal,Passive Net/pot/trap capture,linear model,2,1,2,NA,NA,Scomber scombrus,adults,Temperature,Reproduction,NA,Overall negative response,Medium,NA,TEMPERATURE
66,n3_sco.339,n_sco.339,"Vinagre C., Amara R., Maia A., Cabral H.N.","Latitudinal comparison of spawning season and growth of 0-group sole, Solea solea (L.)",2008,"Estuarine, Coastal and Shelf Science",78,3,521,528,10.1016/j.ecss.2008.01.012,https://doi.org/10.1016/j.ecss.2008.01.012,"0-Group sole, Solea solea (Linnaeus, 1758) were sampled in four nursery grounds: two on the Northern French coast and two on the Portuguese coast. Juvenile sole were collected at the Vilaine estuary (Northern Bay of Biscay) in 1992, in the Authie estuary (Eastern English Channel) in 1997, and in the Douro and Tagus estuary (Northern and central Portugal, respectively) in 2005. Left lapilli otoliths were used to estimate age and investigate variability in growth rates and hatch dates. In the French study areas nursery colonisation ended in early June in the Vilaine estuary and in late June in the Authie estuary. In the Portuguese estuaries nursery colonisation ended in May in the Douro estuary and in late June in the Tagus estuary. Growth rates were higher in the Portuguese estuaries, 0.767 mm d-1 in the Tagus estuary and 0.903 mm d-1 in the Douro estuary. In the French nurseries, growth rates were estimated to be 0.473 mm d-1 in the Villaine estuary and 0.460 mm d-1 in the Authie estuary. Data on growth rates from other studies shows that growth rates are higher at lower latitudes, probably due to higher water temperature. Spawning took place between early January and early April in the Villaine estuary's coastal area in 1992. In 1997, in the Authie estuary spawning started in late January and ended in early April. On the Douro estuary's adjacent coast spawning started in mid-January and ended in late March, in 2005, while on the Tagus estuary's adjacent coast spawning started in mid-February and ended in mid-April, in the same year. Literature analysis of the spawning period of sole along a latitudinal gradient ranging from 38°N to 55°N in the Northeast Atlantic indicated that there is a latitudinal trend, in that spawning starts sooner at lower latitudes. Results support that local conditions, particularly hydrodynamics, may overrule general latitudinal trends. © 2008 Elsevier Ltd. All rights reserved.",English,Article,,Scopus,K,Western Waters - CS,">100,000",multidecadal,"1,000-5,000",month,In situ structural growth,linear model,2,1,2,NA,NA,Solea solea,juveniles,Temperature,Growth,NA,Overall positive response,Medium,NA,TEMPERATURE
67,n3_sco.339,n_sco.339,"Vinagre C., Amara R., Maia A., Cabral H.N.","Latitudinal comparison of spawning season and growth of 0-group sole, Solea solea (L.)",2008,"Estuarine, Coastal and Shelf Science",78,3,521,528,10.1016/j.ecss.2008.01.012,https://doi.org/10.1016/j.ecss.2008.01.012,"0-Group sole, Solea solea (Linnaeus, 1758) were sampled in four nursery grounds: two on the Northern French coast and two on the Portuguese coast. Juvenile sole were collected at the Vilaine estuary (Northern Bay of Biscay) in 1992, in the Authie estuary (Eastern English Channel) in 1997, and in the Douro and Tagus estuary (Northern and central Portugal, respectively) in 2005. Left lapilli otoliths were used to estimate age and investigate variability in growth rates and hatch dates. In the French study areas nursery colonisation ended in early June in the Vilaine estuary and in late June in the Authie estuary. In the Portuguese estuaries nursery colonisation ended in May in the Douro estuary and in late June in the Tagus estuary. Growth rates were higher in the Portuguese estuaries, 0.767 mm d-1 in the Tagus estuary and 0.903 mm d-1 in the Douro estuary. In the French nurseries, growth rates were estimated to be 0.473 mm d-1 in the Villaine estuary and 0.460 mm d-1 in the Authie estuary. Data on growth rates from other studies shows that growth rates are higher at lower latitudes, probably due to higher water temperature. Spawning took place between early January and early April in the Villaine estuary's coastal area in 1992. In 1997, in the Authie estuary spawning started in late January and ended in early April. On the Douro estuary's adjacent coast spawning started in mid-January and ended in late March, in 2005, while on the Tagus estuary's adjacent coast spawning started in mid-February and ended in mid-April, in the same year. Literature analysis of the spawning period of sole along a latitudinal gradient ranging from 38°N to 55°N in the Northeast Atlantic indicated that there is a latitudinal trend, in that spawning starts sooner at lower latitudes. Results support that local conditions, particularly hydrodynamics, may overrule general latitudinal trends. © 2008 Elsevier Ltd. All rights reserved.",English,Article,,Scopus,K,North Sea - non CS,">100,000",multidecadal,"1,000-5,000",month,In situ structural growth,linear model,2,1,2,NA,NA,Solea solea,juveniles,Temperature,Growth,NA,Overall positive response,Medium,NA,TEMPERATURE
68,n3_sco.36,n_sco.36,"Akimova A., Hufnagl M., Peck M.A.",Spatiotemporal dynamics of predators and survival of marine fish early life stages: Atlantic cod (Gadus morhua) in the North Sea,2019,Progress in Oceanography,176,,,,10.1016/j.pocean.2019.102121,https://doi.org/10.1016/j.pocean.2019.102121,"Predation is one of the principle factors regulating the survival of early-life stages and recruitment success of marine fishes. Although challenging, it is important to understand how predation mortality varies in space and how this spatial variability affects the temporal dynamics of fish recruitment. We investigated the spatiotemporal variability in the magnitude of predation mortality and survival of Atlantic cod (Gadus morhua) in the North Sea by combining a Lagrangian individual-based model of cod early-life stages (eggs, larvae and age-0 juveniles) with an Eulerian representation of its fish predators based on field data collected quarterly from 1991 to 1997. The mean and variance (spatial and inter-annual) in survival of cod were different between simulations using homogeneous and heterogeneous spatial distributions of predators. Survival of cod through its early-life period was 1 order of magnitude higher in simulations using heterogeneous versus homogenous predator distributions, mainly due to reduced mortality of eggs and larvae in the former simulation. Our model predicted markedly different year-to-year changes in cod survival, when heterogeneous predator fields were implemented. In the heterogeneous simulation, Atlantic herring (Clupea harengus) and grey gurnard (Eutrigla gurnadus) emerged as the most important predators comprising, respectively, 68% and 13% of the predation mortality caused by 7 predators included in our study. A low (<0.1%) survival was predicted for cod progeny originating from known spawning grounds in the central and south-eastern North Sea while considerably higher survival (between 0.8 and 1%) was predicted for northern spawning areas and in the Southern Bight. Numerical sensitivity experiments indicated that seasonal and annual changes in the spatial distribution of predators were more important to the inter-annual variability in the modelled cod survival (52% of the mean survival) than annual changes in the biomass of predators (23%) and the variability of the North Sea hydrography (19%) with the relative importance of these factors depending on the life stage of cod. We argue that including spatial dynamics of predators will advance the predictive capacity of fish early-life stage models enabling more robust, science-based advice for spatially-explicit fishery management and marine spatial planning. © 2019 Elsevier Ltd",English,Article,,Scopus,K,North Sea - CS,">100,000",decade,"1,000-5,000",year,Simulated dynamics,Lagrangian stochastic drift module _ Eulerian representation of cod predators _ survival (exponential),2,2,2,NA,NA,Gadus morhua,"early life stages (eggs, larvae)",Predator pressure,Survival,NA,Mixed response,Medium,this study applies a series of mortality equations based on the spatial density of early stage cod predators and egg and larva dispersal (Lagrangian plot). The final result of the recruitment is compared with the experimental data (survey data). I have some doubts that it should be considered on the basis of the exclusion criteria,PREDATOR
69,w3_sco.379,w_sco.379,Southward A.J.,Long Term Changes In Abundance Of Eggs Of The Cornish Pilchard (Sardina Pilchardus Walbaum) Off Plymouth,1974,Journal of the Marine Biological Association of the United Kingdom,54,3,641,649,10.1017/S0025315400022815,https://doi.org/10.1017/S0025315400022815,"Continuing a series of weekly observations begun in 1924, a further 20 years' records are given of seasonal changes in the abundance of pilchard eggs off Plymouth, and the 70 years series is reviewed. A general overall relationship can be seen between the number of summer spawned eggs and climatic change. Summer spawning was most intense in the warm period from 1935 to 1961, and has since declined with falling sea temperatures, but a detailed correlation fails owing to the great variation in egg abundance from year to year. Eggs spawned in the autumn months have become more abundant during the cooler period since 1962, and a significant inverse correlation can be shown between autumn egg numbers and the sea temperatures experienced by the fish during the previous 18 months. The scientific evidence suggests a recent cyclic fluctuation of pilchard abundance, linked with 40-50 year cyclic changes in the planktonic ecosystem of the W. English Channel. The historic records indicate similar fluctuations of pilchard abundance, but of undetermined frequency, for the past 400 years. © 1974, Marine Biological Association of the United Kingdom. All rights reserved.",English,Article,,Scopus,K,Western Waters - non CS,"10,000-50,000",multidecadal,"10,000-50,000",half year,Active Net Capture,linear model,3,2,3,NA,NA,Sardina pilchardus,"early life stages (eggs, larvae)",Temperature,Abundance,NA,Overall negative response,Large,NA,TEMPERATURE
70,b3_sco.403,b_sco.403,"Raid T., Kornilovs G., Lankov A., Nisumaa A.-M., Shpilev H., Järvik A.",Recruitment dynamics of the Gulf of Riga herring stock: Density-dependent and environmental effects,2010,ICES Journal of Marine Science,67,9,1914,1920,10.1093/icesjms/fsq128,https://doi.org/10.1093/icesjms/fsq128,"The Gulf of Riga and open-sea stocks of the Baltic herring have displayed remarkably consistent inverse recruitment and stock development patterns since the 1970s: the open-sea stocks steadily declined, whereas the Gulf stock increased rapidly in the early 1990s, reaching a peak abundance in the early 2000s and exceeding the level of the 1970s by a factor of 2-3. The increase was accompanied by a decline in the mean weight-at-age and the condition factor. The estimated decline (by 30-40) in the average annual consumption rate per individual and changes observed in the zooplankton community suggest that density-dependent effects may have increased since the 1970s. The current period of high stock sizes is also characterized by greater recruitment variability. Historical fecundity investigations have established that the average egg production per individual has decreased in all age groups by 20-50, along with a decrease in mean weight and condition. Yet, the effect on recruitment has been low so far, because lower fecundity has been compensated by the greater abundance and population fecundity has been maintained at the original level. Recruitment appears to be more influenced by environmental conditions than by spawning-stock biomass. © 2010 International Council for the Exploration of the Sea. Published by Oxford Journals. All rights reserved.",English,Article,"All Open Access, Bronze, Green",Scopus,K,Baltic Sea - CS,">100,000",multidecadal,">100,000",year,Fisheries Dependent Data,linear model,3,2,3,NA,NA,Clupea harengus,adults,Competition,Condition,NA,Overall negative response,Large,NA,COMPETITION & DENSITY DEPENDENCE
71,b3_sco.403,b_sco.403,"Raid T., Kornilovs G., Lankov A., Nisumaa A.-M., Shpilev H., Järvik A.",Recruitment dynamics of the Gulf of Riga herring stock: Density-dependent and environmental effects,2010,ICES Journal of Marine Science,67,9,1914,1920,10.1093/icesjms/fsq128,https://doi.org/10.1093/icesjms/fsq128,"The Gulf of Riga and open-sea stocks of the Baltic herring have displayed remarkably consistent inverse recruitment and stock development patterns since the 1970s: the open-sea stocks steadily declined, whereas the Gulf stock increased rapidly in the early 1990s, reaching a peak abundance in the early 2000s and exceeding the level of the 1970s by a factor of 2-3. The increase was accompanied by a decline in the mean weight-at-age and the condition factor. The estimated decline (by 30-40) in the average annual consumption rate per individual and changes observed in the zooplankton community suggest that density-dependent effects may have increased since the 1970s. The current period of high stock sizes is also characterized by greater recruitment variability. Historical fecundity investigations have established that the average egg production per individual has decreased in all age groups by 20-50, along with a decrease in mean weight and condition. Yet, the effect on recruitment has been low so far, because lower fecundity has been compensated by the greater abundance and population fecundity has been maintained at the original level. Recruitment appears to be more influenced by environmental conditions than by spawning-stock biomass. © 2010 International Council for the Exploration of the Sea. Published by Oxford Journals. All rights reserved.",English,Article,"All Open Access, Bronze, Green",Scopus,K,Baltic Sea - CS,">100,000",multidecadal,">100,000",year,Fisheries Dependent Data,linear model,3,2,3,NA,NA,Clupea harengus,adults,Competition,Reproduction,NA,Overall negative response,Large,NA,COMPETITION & DENSITY DEPENDENCE
72,b3_sco.502,b_sco.502,"Hinrichsen H.-H., Voss R., Wieland K., Köster F., Andersen K.H., Margonski P.","Spatial and temporal heterogeneity of the cod spawning environment in the Bornholm Basin, Baltic Sea",2007,Marine Ecology Progress Series,345,,245,254,10.3354/meps06989,https://doi.org/10.3354/meps06989,"The present study quantifies the spatial heterogeneity of the environmental conditions associated with successful spawning by cod Gadus morhua in the Bornholm Basin. Quarterly means from 1989 to 2003 of the thickness of reproductive volume that enabled egg survival indicate that most favourable spawning conditions were located in the central area, inside the 80 m isobath. On average, spatial patterns were similar in the second and third quarters, but with overall lower thicknesses of reproductive volume and less horizontal extension of conditions suitable for egg survival in the third quarter. The observed basin-wide variation in thickness of reproductive volume and oxygen content inside this volume can result in marked horizontal differences in oxygen-related egg mortality, especially during stagnation years. The spawning habitat selected by adult Baltic cod in the Bornholm Basin was characterised by comparing data on egg abundance with environmental variables measured concurrently with egg collection. A clear preference for spawning at locations in the deep basin is evident after both inflow events, as well as for stagnation periods. In consequence, the closed area for fishing implemented in the Bornholm Basin during the main spawning periods from 1995 to 2003, although located in the northern centre of the basin, did not necessarily ensure undisturbed spawning in stagnation years. © Inter-Research 2007.",English,Article,"All Open Access, Bronze, Green",Scopus,K,Baltic Sea - CS,"10,000-50,000",multidecadal,"1,000-5,000",quarter,CTD,average,2,2,3,NA,NA,Gadus morhua,"early life stages (eggs, larvae)",Oxygen,Survival,NA,Mixed response,Large,NA,CLIMATE & OCEANOGRAPHY
73,b3_sco.502,b_sco.502,"Hinrichsen H.-H., Voss R., Wieland K., Köster F., Andersen K.H., Margonski P.","Spatial and temporal heterogeneity of the cod spawning environment in the Bornholm Basin, Baltic Sea",2007,Marine Ecology Progress Series,345,,245,254,10.3354/meps06989,https://doi.org/10.3354/meps06989,"The present study quantifies the spatial heterogeneity of the environmental conditions associated with successful spawning by cod Gadus morhua in the Bornholm Basin. Quarterly means from 1989 to 2003 of the thickness of reproductive volume that enabled egg survival indicate that most favourable spawning conditions were located in the central area, inside the 80 m isobath. On average, spatial patterns were similar in the second and third quarters, but with overall lower thicknesses of reproductive volume and less horizontal extension of conditions suitable for egg survival in the third quarter. The observed basin-wide variation in thickness of reproductive volume and oxygen content inside this volume can result in marked horizontal differences in oxygen-related egg mortality, especially during stagnation years. The spawning habitat selected by adult Baltic cod in the Bornholm Basin was characterised by comparing data on egg abundance with environmental variables measured concurrently with egg collection. A clear preference for spawning at locations in the deep basin is evident after both inflow events, as well as for stagnation periods. In consequence, the closed area for fishing implemented in the Bornholm Basin during the main spawning periods from 1995 to 2003, although located in the northern centre of the basin, did not necessarily ensure undisturbed spawning in stagnation years. © Inter-Research 2007.",English,Article,"All Open Access, Bronze, Green",Scopus,K,Baltic Sea - CS,"10,000-50,000",multidecadal,"1,000-5,000",quarter,CTD,average,2,2,3,NA,NA,Gadus morhua,"early life stages (eggs, larvae)",Salinity,Survival,NA,Mixed response,Medium,NA,CLIMATE & OCEANOGRAPHY
74,b3_sco.502,b_sco.502,"Hinrichsen H.-H., Voss R., Wieland K., Köster F., Andersen K.H., Margonski P.","Spatial and temporal heterogeneity of the cod spawning environment in the Bornholm Basin, Baltic Sea",2007,Marine Ecology Progress Series,345,,245,254,10.3354/meps06989,https://doi.org/10.3354/meps06989,"The present study quantifies the spatial heterogeneity of the environmental conditions associated with successful spawning by cod Gadus morhua in the Bornholm Basin. Quarterly means from 1989 to 2003 of the thickness of reproductive volume that enabled egg survival indicate that most favourable spawning conditions were located in the central area, inside the 80 m isobath. On average, spatial patterns were similar in the second and third quarters, but with overall lower thicknesses of reproductive volume and less horizontal extension of conditions suitable for egg survival in the third quarter. The observed basin-wide variation in thickness of reproductive volume and oxygen content inside this volume can result in marked horizontal differences in oxygen-related egg mortality, especially during stagnation years. The spawning habitat selected by adult Baltic cod in the Bornholm Basin was characterised by comparing data on egg abundance with environmental variables measured concurrently with egg collection. A clear preference for spawning at locations in the deep basin is evident after both inflow events, as well as for stagnation periods. In consequence, the closed area for fishing implemented in the Bornholm Basin during the main spawning periods from 1995 to 2003, although located in the northern centre of the basin, did not necessarily ensure undisturbed spawning in stagnation years. © Inter-Research 2007.",English,Article,"All Open Access, Bronze, Green",Scopus,K,Baltic Sea - CS,"10,000-50,000",multidecadal,"1,000-5,000",quarter,CTD,average,2,2,3,NA,NA,Gadus morhua,"early life stages (eggs, larvae)",Temperature,Survival,NA,Mixed response,Medium,NA,TEMPERATURE
