"","SW.ID","Year","Region","Scale...Spatial..m.","Scale...Temporal","Resolution...Spatial..m.","Resolution...Temporal","Sampling.Method.used.for.data.collection","Description.Other.Sampling.Method","Analytical.method.used.for.inference","Quality...Spatial..relative.1.3.","Quality...Temporal","Quality...Methods","WP4.task","Study.type","Ecosystem.component_level1","Ecosystem.component_level2","Ecosystem.component_level3","Ecosystem.component_benthos_sediment","Species.taxonomic.group.s.","Pressure.type","Pressure_level","Pressure_variable","Pressure_other","Fishery.type","Gear_level1","Gear_level2","Target.species_metier","Response.variable_paper","Response.variable_category","Direction.of.relationship","Reader","ROWID"
"12","SW4_1136",2011,"CS - Mediterranean",">100,000","decade",">100,000","quarter","Fisheries Dependent Data",NA,"GADGET",2,2,3,"None","Modelling/simulation","Fish_teleost","Demersal",NA,NA,"Merluccius merluccius ","Catch_and_bycatch","Target","close nursery areas","Biolobical parameters (e.g. growth parameters, recruitment)","Commercial","Nets","Gillnet","Merluccius merluccius ","Biomass","Abundance/biomass/density","Positive","Altuna-Etxabe",12
"13","SW4_0760",2015,"Mediterranean - non CS","1,000-5,000","year","50-100","snapshot/no repeat sampling","Visual Analyses of Quadrats/Transects",NA,"non-parametric Kruskal–Wallis ANOVAs _ post-hoc tests _ linear regresion",3,3,3,"None","Field experiment","Fish_teleost","Pelagic",NA,NA,"Sciaena umbra","Catch_and_bycatch","Not specified","reserve protection level",NA,"Commercial",NA,NA,"Sciaena umbra","number of Sciaena umbra observed _ the size","Abundance/biomass/density","Positive","Altuna-Etxabe",13
"14","SW4_0760",2015,"Mediterranean - non CS","1,000-5,000","year","50-100","snapshot/no repeat sampling","Visual Analyses of Quadrats/Transects",NA,"non-parametric Kruskal–Wallis ANOVAs _ post-hoc tests _ linear regresion",3,3,3,"None","Field experiment","Fish_teleost","Pelagic",NA,NA,"Sciaena umbra","Catch_and_bycatch","Not specified","reserve protection level",NA,"Commercial",NA,NA,"Sciaena umbra","number of Sciaena umbra observed _ the size","Size/age structure","Positive","Altuna-Etxabe",14
"15","SW4_0760",2015,"Mediterranean - non CS","1,000-5,000","year","50-100","snapshot/no repeat sampling","Visual Analyses of Quadrats/Transects",NA,"non-parametric Kruskal–Wallis ANOVAs _ post-hoc tests _ linear regresion",3,3,3,"None","Field experiment","Fish_teleost","Pelagic",NA,NA,"Sciaena umbra","Catch_and_bycatch","Not specified","reserve protection level",NA,"Recreational",NA,NA,"Sciaena umbra","number of Sciaena umbra observed _ the size","Abundance/biomass/density","Positive","Altuna-Etxabe",15
"16","SW4_0760",2015,"Mediterranean - non CS","1,000-5,000","year","50-100","snapshot/no repeat sampling","Visual Analyses of Quadrats/Transects",NA,"non-parametric Kruskal–Wallis ANOVAs _ post-hoc tests _ linear regresion",3,3,3,"None","Field experiment","Fish_teleost","Pelagic",NA,NA,"Sciaena umbra","Catch_and_bycatch","Not specified","reserve protection level",NA,"Recreational",NA,NA,"Sciaena umbra","number of Sciaena umbra observed _ the size","Size/age structure","Positive","Altuna-Etxabe",16
"17","SW4_0760",2015,"Mediterranean - non CS","1,000-5,000","multidecadal","500-1,000","multidecadal","Visual Analyses of Quadrats/Transects",NA,"Man–Whitney U tests",3,2,3,"None","Field experiment","Fish_teleost","Pelagic",NA,NA,"Sciaena umbra","Catch_and_bycatch","Not specified","reserve protection level _ year",NA,"Commercial",NA,NA,"Sciaena umbra","Density","Abundance/biomass/density","Positive","Altuna-Etxabe",17
"18","SW4_0760",2015,"Mediterranean - non CS","1,000-5,000","multidecadal","500-1,000","multidecadal","Visual Analyses of Quadrats/Transects",NA,"Man–Whitney U tests",3,2,3,"None","Field experiment","Fish_teleost","Pelagic",NA,NA,"Sciaena umbra","Catch_and_bycatch","Not specified","reserve protection level _ year",NA,"Recreational",NA,NA,"Sciaena umbra","Density","Abundance/biomass/density","Positive","Altuna-Etxabe",18
"19","SW4_0725",2015,"Mediterranean - non CS",">100,000","month","10-50","subday","Visual Analyses of Quadrats/Transects","ROV video images were recorded during the PROMARES-OASIS DEL MAR cruise","Digital Elevation Models (DEMs) _ ROV video images _ SIS",3,3,3,"4.5","Fisheries independent survey","Fish_teleost",NA,NA,NA,"Unknown","Input of litter",NA,"number of litter items","Litter type _ distribution","Unknown",NA,NA,NA,"Resources abundance","Abundance/biomass/density","Multiple","Altuna-Etxabe",19
"20","SW4_0725",2015,"Mediterranean - non CS",">100,000","month","10-50","subday","Visual Analyses of Quadrats/Transects","ROV video images were recorded during the PROMARES-OASIS DEL MAR cruise","Digital Elevation Models (DEMs) _ ROV video images _ SIS",3,3,3,"4.5","Fisheries independent survey","Cephalopods",NA,NA,NA,"Unknown","Input of litter",NA,"number of litter items","Litter type _ distribution","Unknown",NA,NA,NA,"Resources abundance","Abundance/biomass/density","Multiple","Altuna-Etxabe",20
"21","SW4_0725",2015,"Mediterranean - non CS",">100,000","month","10-50","subday","Visual Analyses of Quadrats/Transects","ROV video images were recorded during the PROMARES-OASIS DEL MAR cruise","Digital Elevation Models (DEMs) _ ROV video images _ SIS",3,3,3,"4.5","Fisheries independent survey","Benthos",NA,NA,"Mixed","Unknown","Input of litter",NA,"number of litter items","Litter type _ distribution","Unknown",NA,NA,NA,"Resources abundance","Abundance/biomass/density","Multiple","Altuna-Etxabe",21
"22","SW4_0996",2012,"Mediterranean - non CS","1,000-5,000","two year","100-500","year","Visual Analyses of Quadrats/Transects",NA,"Markovian chain models",3,2,3,"4.4","Field experiment","Marine_mammals","Cetaceans","Toothed_cetacean",NA,"Tursiops truncatus","Discarding",NA,"vessel distance and boat type","Sailing boats _ fast boats","Commercial","Demersal trawls",NA,NA,"Normal swim _ Fast swim _ Long dive _ Short dive _ Surface finning/sharking _ Breach _ Leap _ Tail slap _ Chin up _ Vertical leap _ Flipper slap _ Lateral breach _ Surface accelerate _ Spy hop _ Chin slap _ Cartwheeling _ Change direction _ Non-quantified dive _ Catching _ Milling _ Departing swim _ Resting _ End sighting","Behaviour","Multiple","Altuna-Etxabe",22
"23","SW4_0946",2013,"Mediterranean - non CS","1,000-5,000","two year","500-1,000","year","Visual Analyses of Quadrats/Transects",NA,"non-parametric Kruskal-Wallis test _ non-parametric Dunn’s method _ regression analysis",3,2,3,"4.3","Field experiment","Benthos","Benthic_epifauna","Corals","Mixed","Ellisella paraplexauroides","Physical disturbance of the seabed",NA,"Fishing mortality","predation _ disease _ environmental parameters _depth","Recreational","Nets","Gillnet","Unknown","Colony density _ colony size","Abundance/biomass/density","Negative","Altuna-Etxabe",23
"24","SW4_0946",2013,"Mediterranean - non CS","1,000-5,000","two year","500-1,000","year","Visual Analyses of Quadrats/Transects",NA,"non-parametric Kruskal-Wallis test _ non-parametric Dunn’s method _ regression analysis",3,2,3,"4.3","Field experiment","Benthos","Benthic_epifauna","Corals","Mixed","Ellisella paraplexauroides","Physical disturbance of the seabed",NA,"Fishing mortality","predation _ disease _ environmental parameters _depth","Recreational","Hooks_and_lines","Trolling line","Unknown","Colony density _ colony size","Abundance/biomass/density","Negative","Altuna-Etxabe",24
"25","SW4_0946",2013,"Mediterranean - non CS","1,000-5,000","two year","500-1,000","year","Visual Analyses of Quadrats/Transects",NA,"non-parametric Kruskal-Wallis test _ non-parametric Dunn’s method _ regression analysis",3,2,3,"4.3","Field experiment","Benthos","Benthic_epifauna","Corals","Mixed","Ellisella paraplexauroides","Physical disturbance of the seabed",NA,"Fishing mortality","predation _ disease _ environmental parameters _depth","Commercial","Demersal trawls",NA,"Ilegal","Colony density _ colony size","Abundance/biomass/density","Negative","Altuna-Etxabe",25
"26","SW4_1033",2012,"Mediterranean - non CS","10,000-50,000","month","1,000-5,000","day","Regular Fisheries Independent Survey",NA,"2-sample Mann-Whitney U-test _ Merigot et al 2007 (Principal component analysis based on Spearman's correlation coefficients)",3,3,3,"4.4","Fisheries independent survey","Fish_teleost","Demersal",NA,NA,"Helicolenus dactylopterus dactylopterus","Catch_and_bycatch","Non-target","Catch",NA,"Commercial","Demersal trawls",NA,"Aristaeomorpha foliacea _ Plesionika martia","Mean biomass index _ Mean density index _ Mean individual weight _ Mean individual length _ Mean maximum length per treatment _ Recorded maximum length _ Theoretical optimal size _ Length at maturity _ Asymptotic length","Abundance/biomass/density","Negative","Altuna-Etxabe",26
"27","SW4_1033",2012,"Mediterranean - non CS","10,000-50,000","month","1,000-5,000","day","Regular Fisheries Independent Survey",NA,"2-sample Mann-Whitney U-test _ Merigot et al 2007 (Principal component analysis based on Spearman's correlation coefficients)",3,3,3,"4.4","Fisheries independent survey","Fish_cartilaginous","Sharks",NA,NA,"Galeus melastomus _ Etmopterus spinax","Catch_and_bycatch","Non-target","Catch",NA,"Commercial","Demersal trawls",NA,"Aristaeomorpha foliacea _ Plesionika martia","Mean biomass index _ Mean density index _ Mean individual weight _ Mean individual length _ Mean maximum length per treatment _ Recorded maximum length _ Theoretical optimal size _ Length at maturity _ Asymptotic length","Abundance/biomass/density","Negative","Altuna-Etxabe",27
"28","SW4_1033",2012,"Mediterranean - non CS","10,000-50,000","month","1,000-5,000","day","Regular Fisheries Independent Survey",NA,"2-sample Mann-Whitney U-test _ Merigot et al 2007 (Principal component analysis based on Spearman's correlation coefficients)",3,3,3,"4.4","Fisheries independent survey","Benthos",NA,NA,"Unknown","Aristaeomorpha foliacea _ Plesionika martia _ Nephrops norvegicus","Catch_and_bycatch","Target","Catch",NA,"Commercial","Demersal trawls",NA,"Aristaeomorpha foliacea _ Plesionika martia","Mean biomass index _ Mean density index _ Mean individual weight _ Mean individual length _ Mean maximum length per treatment _ Recorded maximum length _ Theoretical optimal size _ Length at maturity _ Asymptotic length","Abundance/biomass/density","Negative","Altuna-Etxabe",28
"29","SW4_1033",2012,"Mediterranean - non CS","10,000-50,000","month","1,000-5,000","day","Regular Fisheries Independent Survey",NA,"2-sample Mann-Whitney U-test _ Merigot et al 2007 (Principal component analysis based on Spearman's correlation coefficients)",3,3,3,"4.4","Fisheries independent survey","Fish_teleost","Demersal",NA,NA,"Helicolenus dactylopterus dactylopterus","Catch_and_bycatch","Non-target","Catch",NA,"Commercial","Demersal trawls",NA,"Aristaeomorpha foliacea _ Plesionika martia","Mean Simpson diversity index _ Mean Margalef species richness _ Mean Shannon-Wiener diversity index _ Mean Pielou’s evenness _ Mean taxonomic diversity index _ Mean taxonomic distinctness index _ Mean variation in taxonomic distinctness _ Mean total biomass index _ Mean teleost biomass index _ Mean Chondrichthyes biomass index _ Mean decapod biomass index _ Mean total density index _ Mean teleost density index _ Mean Chondrichthyes density index _ Mean decapod density index _ Mean  total number of species","Biodiversity","Negative","Altuna-Etxabe",29
"30","SW4_1033",2012,"Mediterranean - non CS","10,000-50,000","month","1,000-5,000","day","Regular Fisheries Independent Survey",NA,"2-sample Mann-Whitney U-test _ Merigot et al 2007 (Principal component analysis based on Spearman's correlation coefficients)",3,3,3,"4.4","Fisheries independent survey","Fish_cartilaginous","Sharks",NA,NA,"Galeus melastomus _ Etmopterus spinax","Catch_and_bycatch","Non-target","Catch",NA,"Commercial","Demersal trawls",NA,"Aristaeomorpha foliacea _ Plesionika martia","Mean Simpson diversity index _ Mean Margalef species richness _ Mean Shannon-Wiener diversity index _ Mean Pielou’s evenness _ Mean taxonomic diversity index _ Mean taxonomic distinctness index _ Mean variation in taxonomic distinctness _ Mean total biomass index _ Mean teleost biomass index _ Mean Chondrichthyes biomass index _ Mean decapod biomass index _ Mean total density index _ Mean teleost density index _ Mean Chondrichthyes density index _ Mean decapod density index _ Mean  total number of species","Biodiversity","Negative","Altuna-Etxabe",30
"31","SW4_1033",2012,"Mediterranean - non CS","10,000-50,000","month","1,000-5,000","day","Regular Fisheries Independent Survey",NA,"2-sample Mann-Whitney U-test _ Merigot et al 2007 (Principal component analysis based on Spearman's correlation coefficients)",3,3,3,"4.4","Fisheries independent survey","Benthos",NA,NA,"Unknown","Aristaeomorpha foliacea _ Plesionika martia _ Nephrops norvegicus","Catch_and_bycatch","Target","Catch",NA,"Commercial","Demersal trawls",NA,"Aristaeomorpha foliacea _ Plesionika martia","Mean Simpson diversity index _ Mean Margalef species richness _ Mean Shannon-Wiener diversity index _ Mean Pielou’s evenness _ Mean taxonomic diversity index _ Mean taxonomic distinctness index _ Mean variation in taxonomic distinctness _ Mean total biomass index _ Mean teleost biomass index _ Mean Chondrichthyes biomass index _ Mean decapod biomass index _ Mean total density index _ Mean teleost density index _ Mean Chondrichthyes density index _ Mean decapod density index _ Mean  total number of species","Biodiversity","Negative","Altuna-Etxabe",31
"32","SW4_0904",2013,"CS - North Sea",">100,000","multidecadal","10,000-50,000","quarter","Other","Review","Shannon–Wiener diversity index H _ review the changes through years in fishing _ review the changes through years of the fish and benthic communities",3,3,3,"4.4","Meta-analysis","Fish_teleost","Flatfish",NA,NA,"Pleuronectes platessa","Catch_and_bycatch","Non-target","fishery closures","socioeconomic _ environmental","Commercial","Nets","Gillnet","Solea solea","Changes in biomass following the establishment of protected area","Abundance/biomass/density","Negative","Altuna-Etxabe",32
"33","SW4_0904",2013,"CS - North Sea",">100,000","multidecadal","10,000-50,000","quarter","Other","Review","Shannon–Wiener diversity index H _ review the changes through years in fishing _ review the changes through years of the fish and benthic communities",3,3,3,"4.4","Meta-analysis","Fish_teleost","Flatfish",NA,NA,"Pleuronectes platessa","Catch_and_bycatch","Non-target","fishery closures","socioeconomic _ environmental","Commercial","Demersal trawls",NA,"Crangon crangon","Changes in biomass following the establishment of protected area","Abundance/biomass/density","Negative","Altuna-Etxabe",33
"34","SW4_0904",2013,"CS - North Sea",">100,000","multidecadal","10,000-50,000","quarter","Other","Review","Shannon–Wiener diversity index H _ review the changes through years in fishing _ review the changes through years of the fish and benthic communities",3,3,3,"4.4","Meta-analysis","Fish_teleost","Flatfish",NA,NA,"Pleuronectes platessa","Catch_and_bycatch","Target","fishery closures","socioeconomic _ environmental","Commercial","Demersal trawls",NA,"flatfish","Changes in biomass following the establishment of protected area","Abundance/biomass/density","Negative","Altuna-Etxabe",34
"35","SW4_0904",2013,"CS - North Sea",">100,000","multidecadal","10,000-50,000","quarter","Other","Review","Shannon–Wiener diversity index H _ review the changes through years in fishing _ review the changes through years of the fish and benthic communities",3,3,3,"4.4","Meta-analysis","Fish_teleost","Demersal",NA,NA,NA,"Catch_and_bycatch","Non-target","fishery closures","socioeconomic _ environmental","Commercial","Nets","Gillnet","Solea solea","Changes in biomass following the establishment of protected area","Abundance/biomass/density","Negative","Altuna-Etxabe",35
"36","SW4_0904",2013,"CS - North Sea",">100,000","multidecadal","10,000-50,000","quarter","Other","Review","Shannon–Wiener diversity index H _ review the changes through years in fishing _ review the changes through years of the fish and benthic communities",3,3,3,"4.4","Meta-analysis","Fish_teleost","Demersal",NA,NA,NA,"Catch_and_bycatch","Non-target","fishery closures","socioeconomic _ environmental","Commercial","Demersal trawls",NA,"Crangon crangon","Changes in biomass following the establishment of protected area","Abundance/biomass/density","Negative","Altuna-Etxabe",36
"37","SW4_0904",2013,"CS - North Sea",">100,000","multidecadal","10,000-50,000","quarter","Other","Review","Shannon–Wiener diversity index H _ review the changes through years in fishing _ review the changes through years of the fish and benthic communities",3,3,3,"4.4","Meta-analysis","Fish_teleost","Demersal",NA,NA,NA,"Catch_and_bycatch","Non-target","fishery closures","socioeconomic _ environmental","Commercial","Demersal trawls",NA,"flatfish","Changes in biomass following the establishment of protected area","Abundance/biomass/density","Negative","Altuna-Etxabe",37
"38","SW4_0904",2013,"CS - North Sea",">100,000","multidecadal","10,000-50,000","quarter","Other","Review","review the changes through years in fishing _ review the changes through years of the fish and benthic communities",3,3,3,"4.4","Meta-analysis","Benthos","Benthic_infauna",NA,"Unknown","Polychaetes _ bivalves ","Catch_and_bycatch","Non-target","fishery closures","socioeconomic _ environmental","Commercial","Nets","Gillnet","Solea solea","Changes in biomass following the establishment of protected area","Abundance/biomass/density","No impact","Altuna-Etxabe",38
"39","SW4_0904",2013,"CS - North Sea",">100,000","multidecadal","10,000-50,000","quarter","Other","Review","review the changes through years in fishing _ review the changes through years of the fish and benthic communities",3,3,3,"4.4","Meta-analysis","Benthos","Benthic_infauna",NA,"Unknown","Polychaetes _ bivalves ","Catch_and_bycatch","Non-target","fishery closures","socioeconomic _ environmental","Commercial","Demersal trawls",NA,"Crangon crangon","Changes in biomass following the establishment of protected area","Abundance/biomass/density","No impact","Altuna-Etxabe",39
"40","SW4_0904",2013,"CS - North Sea",">100,000","multidecadal","10,000-50,000","quarter","Other","Review","review the changes through years in fishing _ review the changes through years of the fish and benthic communities",3,3,3,"4.4","Meta-analysis","Benthos","Benthic_infauna",NA,"Unknown","Polychaetes _ bivalves ","Catch_and_bycatch","Non-target","fishery closures","socioeconomic _ environmental","Commercial","Demersal trawls",NA,"flatfish","Changes in biomass following the establishment of protected area","Abundance/biomass/density","No impact","Altuna-Etxabe",40
"41","SW4_0904",2013,"CS - North Sea",">100,000","multidecadal","10,000-50,000","quarter","Other","Review","review the changes through years in fishing _ review the changes through years of the fish and benthic communities",3,3,3,"4.4","Meta-analysis","Benthos","Benthic_epifauna",NA,"Unknown","Cancer pagurus _ Asterias rubens _ Buccinum undatum","Physical disturbance of the seabed",NA,"fishery closures","socioeconomic _ environmental","Commercial","Nets","Gillnet","Solea solea","Changes in biomass following the establishment of protected area","Abundance/biomass/density","Positive","Altuna-Etxabe",41
"42","SW4_0904",2013,"CS - North Sea",">100,000","multidecadal","10,000-50,000","quarter","Other","Review","review the changes through years in fishing _ review the changes through years of the fish and benthic communities",3,3,3,"4.4","Meta-analysis","Benthos","Benthic_epifauna",NA,"Unknown","Cancer pagurus _ Asterias rubens _ Buccinum undatum","Physical disturbance of the seabed",NA,"fishery closures","socioeconomic _ environmental","Commercial","Demersal trawls",NA,"Crangon crangon","Changes in biomass following the establishment of protected area","Abundance/biomass/density","Positive","Altuna-Etxabe",42
"43","SW4_0904",2013,"CS - North Sea",">100,000","multidecadal","10,000-50,000","quarter","Other","Review","review the changes through years in fishing _ review the changes through years of the fish and benthic communities",3,3,3,"4.4","Meta-analysis","Benthos","Benthic_epifauna",NA,"Unknown","Cancer pagurus _ Asterias rubens _ Buccinum undatum","Physical disturbance of the seabed",NA,"fishery closures","socioeconomic _ environmental","Commercial","Demersal trawls",NA,"flatfish","Changes in biomass following the establishment of protected area","Abundance/biomass/density","Positive","Altuna-Etxabe",43
"44","SW4_0904",2013,"CS - North Sea",">100,000","multidecadal","10,000-50,000","quarter","Other","Review","review the changes through years in fishing _ review the changes through years of the fish and benthic communities",3,3,3,"4.4","Meta-analysis","Fish_teleost","Flatfish",NA,NA,"Pleuronectes platessa","Catch_and_bycatch","Target","fishery closures","socioeconomic _ environmental","Commercial","Demersal trawls",NA,"flatfish","Juvenile growth rate","Growth","No impact","Altuna-Etxabe",44
"45","SW4_0904",2013,"CS - North Sea",">100,000","multidecadal","10,000-50,000","quarter","Other","Review","Shannon–Wiener diversity index H _ review the changes through years in fishing _ review the changes through years of the fish and benthic communities",3,3,3,"4.4","Meta-analysis","Fish_teleost","Flatfish",NA,NA,"Pleuronectes platessa","Catch_and_bycatch","Non-target","fishery closures","socioeconomic _ environmental","Commercial","Nets","Gillnet","Solea solea","Diversity index","Biodiversity","Positive","Altuna-Etxabe",45
"46","SW4_0904",2013,"CS - North Sea",">100,000","multidecadal","10,000-50,000","quarter","Other","Review","Shannon–Wiener diversity index H _ review the changes through years in fishing _ review the changes through years of the fish and benthic communities",3,3,3,"4.4","Meta-analysis","Fish_teleost","Flatfish",NA,NA,"Pleuronectes platessa","Catch_and_bycatch","Non-target","fishery closures","socioeconomic _ environmental","Commercial","Demersal trawls",NA,"Crangon crangon","Diversity index","Biodiversity","Positive","Altuna-Etxabe",46
"47","SW4_0904",2013,"CS - North Sea",">100,000","multidecadal","10,000-50,000","quarter","Other","Review","Shannon–Wiener diversity index H _ review the changes through years in fishing _ review the changes through years of the fish and benthic communities",3,3,3,"4.4","Meta-analysis","Fish_teleost","Flatfish",NA,NA,"Pleuronectes platessa","Catch_and_bycatch","Target","fishery closures","socioeconomic _ environmental","Commercial","Demersal trawls",NA,"flatfish","Diversity index","Biodiversity","Positive","Altuna-Etxabe",47
"48","SW4_0904",2013,"CS - North Sea",">100,000","multidecadal","10,000-50,000","quarter","Other","Review","Shannon–Wiener diversity index H _ review the changes through years in fishing _ review the changes through years of the fish and benthic communities",3,3,3,"4.4","Meta-analysis","Fish_teleost","Demersal",NA,NA,NA,"Catch_and_bycatch","Non-target","fishery closures","socioeconomic _ environmental","Commercial","Nets","Gillnet","Solea solea","Diversity index","Biodiversity","Positive","Altuna-Etxabe",48
"49","SW4_0904",2013,"CS - North Sea",">100,000","multidecadal","10,000-50,000","quarter","Other","Review","Shannon–Wiener diversity index H _ review the changes through years in fishing _ review the changes through years of the fish and benthic communities",3,3,3,"4.4","Meta-analysis","Fish_teleost","Demersal",NA,NA,NA,"Catch_and_bycatch","Non-target","fishery closures","socioeconomic _ environmental","Commercial","Demersal trawls",NA,"Crangon crangon","Diversity index","Biodiversity","Positive","Altuna-Etxabe",49
"50","SW4_0904",2013,"CS - North Sea",">100,000","multidecadal","10,000-50,000","quarter","Other","Review","Shannon–Wiener diversity index H _ review the changes through years in fishing _ review the changes through years of the fish and benthic communities",3,3,3,"4.4","Meta-analysis","Fish_teleost","Demersal",NA,NA,NA,"Catch_and_bycatch","Non-target","fishery closures","socioeconomic _ environmental","Commercial","Demersal trawls",NA,"flatfish","Diversity index","Biodiversity","Positive","Altuna-Etxabe",50
"51","SW4_0976",2013,"CS - Baltic Sea",">100,000","two year","10,000-50,000","day","Behavioural Observations",NA,"Generalized linear mixed effects models _ zero inflated Poisson model",3,3,3,"4.2","Fisheries dependent survey","Seabirds",NA,NA,NA,"Diving ducks _ Seaducks _ Mergansers _ Grebes _ Divers _ Phalacrocorax carbo _ Fulica atra _ Auks _ Larus spp.","Catch_and_bycatch","Bycatch","Effort","water depth _ location _ season","Commercial","Nets","Gillnet","Clupea harengus _ Belone belone","Number of birds","Abundance/biomass/density","Negative","Altuna-Etxabe",51
