interaction_type,AC,poll_question,user_id,where,who,gender,poll_option_orig,poll_option_recoded_close_to_original,poll_option_recoded_lower_resolution,poll_option_coarse_recoding,impacts_on_item_of_column_I,system,WP2,WP3,WP4,WP5,WP6,nr_WPs,,,duplicated_in_col-J_poll_option_recoded_lower_resolution,,Row_number,Row_static
cloud,kickoff,Which social items would you like advice on?,NA,Western_waters,Scientist,NA,Biodiversité protection,biodiversity,biodiversity,biodiversity,NA,ecological,0,0,0,1,1,2,,,"biodiversity (community composition, protection, etc.)",0,34,1100
cloud,kickoff,Which social items would you like advice on?,NA,Western_waters,Scientist,NA,Biodiversité protection,biodiversity,biodiversity,biodiversity,NA,ecological,0,0,0,1,1,2,,,"biodiversity (community composition, protection, etc.)",0,35,1101
cloud,kickoff,Which items would you like to know the impact of?,NA,Western_waters,Scientist,NA,Biodiversity loss,biodiversity,biodiversity,biodiversity,NA,ecological,0,0,1,1,1,3,,,"biodiversity (community composition, protection, etc.)",0,36,1172
cloud,kickoff,Which items would you like to know the impact of?,NA,Western_waters,Scientist,NA,Biodiversity loss,biodiversity,biodiversity,biodiversity,NA,ecological,0,0,1,1,1,3,,,"biodiversity (community composition, protection, etc.)",0,37,1173
cloud,kickoff,Which items would you like to know the impact of?,NA,Western_waters,Scientist,NA,Biodiversity loss,biodiversity,biodiversity,biodiversity,NA,ecological,0,0,1,1,1,3,,,"biodiversity (community composition, protection, etc.)",0,38,1174
cloud,kickoff,Which items would you like to know the impact of?,NA,Western_waters,Scientist,NA,Biodiversity loss,biodiversity,biodiversity,biodiversity,NA,ecological,0,0,1,1,1,3,,,"biodiversity (community composition, protection, etc.)",0,39,1175
cloud,kickoff,Which items would you like to know the impact of?,NA,Western_waters,Scientist,NA,Biodiversity loss,biodiversity,biodiversity,biodiversity,NA,ecological,0,0,1,1,1,3,,,"biodiversity (community composition, protection, etc.)",0,40,1176
cloud,kickoff,Which items would you like to know the impact of?,NA,Western_waters,Scientist,NA,Biodiversity loss,biodiversity,biodiversity,biodiversity,NA,ecological,0,0,1,1,1,3,,,"biodiversity (community composition, protection, etc.)",0,41,1177
individual,kickoff,NA,user_dia003,Western_waters,Scientist,NA,where can we implement MPA to counteract antropogenic pressure on the marine biodiversity?,biodiversity,biodiversity,biodiversity,biodiversity protection,ecological,0,0,0,1,1,2,,,spatial management,0,42,1309
individual,kickoff,NA,user_dia003,Western_waters,Scientist,NA,How to limit interaction between biodiversity and fishing in this area?,biodiversity,biodiversity,biodiversity,NA,ecological,0,0,1,1,1,3,,,tradeoffs,0,43,1319
individual,kickoff,NA,user_dia011,Western_waters,Scientist,NA,biodiversity,biodiversity,biodiversity,biodiversity,NA,ecological,0,0,1,1,1,3,,,"biodiversity (community composition, protection, etc.)",0,44,1431
individual,kickoff,NA,BSsci02,Baltic_Sea,Scientist,Man,biodiversity/benthos as supporting ecosystems,biodiversity,biodiversity,biodiversity,,ecological,0,0,1,1,1,3,,,,,45,1600
cloud,kickoff,Which ecological items would you like advice on?,NA,North_Sea,Scientist,NA,Biodiversity,biodiversity,biodiversity,biodiversity,,ecological,0,0,1,1,1,3,,,,,46,1878
cloud,kickoff,Which ecological items would you like advice on?,NA,North_Sea,Scientist,NA,Biodiversity and all components ,biodiversity,biodiversity,biodiversity,,ecological,0,0,1,1,1,3,,,,,47,1907
individual,kickoff,NA,K1,Mediterranean,Scientist,Man,Biodiversity,biodiversity,biodiversity,biodiversity,,ecological,0,0,1,1,1,3,,,,,48,2056
individual,kickoff,NA,K3,Mediterranean,Scientist,NA,To preserve the biodiversity,biodiversity,biodiversity,biodiversity,,ecological,0,0,1,1,1,3,,,,,49,2094
individual,kickoff,NA,K12,Mediterranean,Scientist,NA,Biodiversity conservation/shark icon/turtle icon/benthic icon,biodiversity,biodiversity,biodiversity,,ecological,0,0,1,1,1,3,,,,,50,2191
cloud,kickoff,Which ecological items would you like advice on?,NA,Mediterranean,Scientist,NA,Biodiversity,biodiversity,biodiversity,biodiversity,,ecological,0,0,1,1,1,3,,,,,51,2279
cloud,kickoff,Which items would you like to know the impact of?,NA,Mediterranean,Scientist,NA,Biodiversity loss,biodiversity,biodiversity,biodiversity,,ecological,0,0,1,1,1,3,,,,,52,2340
cloud,kickoff,Which items would you like to know the impact of?,NA,Mediterranean,Scientist,NA,Biodiversity loss,biodiversity,biodiversity,biodiversity,,ecological,0,0,1,1,1,3,,,,,53,2341
individual,Greek,NA,G11,Mediterranean,NGO,,Biodiversity ,biodiversity ,biodiversity,biodiversity,,ecological,0,0,1,1,1,3,,,,,54,2475
cloud,NSAC,Which items would you like to know the impact of?,3c02f13bbe12d5c53baa5e29ba077425163b1a09,North_Sea,,,bottom trawling: effects on seabed/habitats,bottom trawling,bottom trawling,fisheries,,fisheries,0,0,1,0,1,2,,,,,55,331
cloud,kickoff,Which ecological items would you like advice on?,NA,Western_waters,Scientist,NA,trawling impact,trawling impact,bottom trawling,fisheries,NA,fisheries,1,0,1,0,1,3,,,benthic habitat impact,0,56,1012
cloud,kickoff,Which ecological items would you like advice on?,NA,Western_waters,Scientist,NA,trawling impact,trawling impact,bottom trawling,fisheries,NA,fisheries,1,0,1,0,1,3,,,benthic habitat impact,0,57,1013
cloud,kickoff,Which ecological items would you like advice on?,NA,Western_waters,Scientist,NA,trawling impact,trawling impact,bottom trawling,fisheries,NA,fisheries,1,0,1,0,1,3,,,benthic habitat impact,0,58,1014
cloud,kickoff,Which items would you like to know the impact of?,NA,Western_waters,Scientist,NA,benthic trawling impact,bottom trawling,bottom trawling,fisheries,NA,fisheries,0,0,1,0,1,2,,,benthic habitat impact,0,59,1234
cloud,kickoff,Which items would you like to know the impact of?,NA,North_Sea,Scientist,NA,Bottom trawling,bottom trawling,bottom trawling,fisheries,,fisheries,1,0,0,0,1,2,,,,,60,2007
individual,kickoff,NA,K13,Mediterranean,Scientist,Man,Impact of bottom trawling/fisheries icon,bottom trawling,bottom trawling,fisheries,"Slow-growing vulnerable species such as skates/skate icon, Vulnerable habitat e.g. animal forests, Target demersal species",fisheries,1,0,0,,1,2,,,,,61,2212
cloud,kickoff,Which items would you like to know the impact of?,NA,Mediterranean,Scientist,NA,trawl gear,trawling,bottom trawling,fisheries,,fisheries,1,0,0,0,1,2,,,,,62,2317
cloud,kickoff,Which items would you like to know the impact of?,NA,Mediterranean,Scientist,NA,trawl gear,trawling,bottom trawling,fisheries,,fisheries,1,0,0,0,1,2,,,,,63,2318
cloud,kickoff,Which items would you like to know the impact of?,NA,Mediterranean,Scientist,NA,trawl gear,trawling,bottom trawling,fisheries,,fisheries,1,0,0,0,1,2,,,,,64,2319
cloud,kickoff,Which items would you like to know the impact of?,NA,Mediterranean,Scientist,NA,trawl gear,trawling,bottom trawling,fisheries,,fisheries,1,0,0,0,1,2,,,,,65,2320
cloud,kickoff,Which items would you like to know the impact of?,NA,Mediterranean,Scientist,NA,trawl gear,trawling,bottom trawling,fisheries,,fisheries,1,0,0,0,1,2,,,,,66,2321
cloud,kickoff,Which items would you like to know the impact of?,NA,Mediterranean,Scientist,NA,trawl gear,trawling,bottom trawling,fisheries,,fisheries,1,0,0,0,1,2,,,,,67,2322
cloud,kickoff,Which items would you like to know the impact of?,NA,Mediterranean,Scientist,NA,Trawl gears,trawling,bottom trawling,fisheries,,fisheries,1,0,0,0,1,2,,,,,68,2352
individual,Italian,NA,I5,Mediterranean,other,Man,trawl fishery,trawling,bottom trawling,fisheries,PET,fisheries,1,0,0,0,1,2,,,,,69,2411
individual,Italian,NA,I7,Mediterranean,industry,Man,trawlers,trawlers,bottom trawling,fisheries,"commercial species, habitats",fisheries,1,0,0,0,1,2,,,,,70,2432
individual,Greek,NA,G17,Mediterranean,industry,Man,trawlers,trawlers,bottom trawling,fisheries,"seabed degradation, discards",fisheries,1,0,0,0,1,2,,,,,71,2587
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,Brexit,Brexit,Brexit,spatial management,"regulation, North Sea agreements",social,1,0,0,0,1,2,,,,,72,170
cloud,PELAC,Which items would you like to know the impact of?,95e7c067dd21e6402caf98eeddc75b524bbdb929,North_Sea/Western_waters,scientist,Man,Brexit,Brexit,Brexit,spatial management,,social,1,0,0,0,1,2,,,,,73,411
cloud,PELAC,Which items would you like to know the impact of?,a25759372c3dbbc30c54dc97b7f3fe1e087b5a72,North_Sea,other,Woman,Brexit,Brexit,Brexit,spatial management,,social,1,0,0,0,1,2,,,,,74,414
cloud,PELAC,Which items would you like to know the impact of?,a27807f7cf766d11c5ce08862841bd10aa7f5bfa,Western_waters,industry,Woman,Brexit,Brexit,Brexit,spatial management,,social,1,0,0,0,1,2,,,,,75,419
individual,NWWAC,NA,user001,North_Sea/Western_waters,Industry,Man,Brexit: potential alternative fishing grounds for Belgian demersal fleet,Brexit,Brexit,spatial management,fleet dynamics,social,1,0,0,0,1,2,,,"governance, politics and policy issues",0,76,798
cloud,kickoff,Which items would you like to know the impact of?,NA,Western_waters,Scientist,NA,Brexit,brexit,Brexit,spatial management,NA,social,1,0,0,0,1,2,,,"governance, politics and policy issues",0,77,1202
cloud,kickoff,Which items would you like to know the impact of?,NA,Western_waters,Scientist,NA,Brexit,brexit,Brexit,spatial management,NA,social,1,0,0,0,1,2,,,"governance, politics and policy issues",0,78,1203
individual,kickoff,NA,user_dia001,Western_waters,Scientist,NA,brexit,brexit,Brexit,spatial management,NA,social,1,0,0,0,1,2,,,"governance, politics and policy issues",0,79,1272
cloud,kickoff,Which social items would you like advice on?,NA,North_Sea,Scientist,NA,Brexit,Brexit,Brexit,spatial management,,social,1,0,0,0,1,2,,,,,80,1925
cloud,kickoff,Which social items would you like advice on?,NA,North_Sea,Scientist,NA,Brexit impacts,Brexit,Brexit,spatial management,,social,1,0,0,0,1,2,,,,,81,1957
cloud,kickoff,Which items would you like to know the impact of?,NA,North_Sea,Scientist,NA,Brexit,Brexit,Brexit,spatial management,,social,1,0,0,0,1,2,,,,,82,2012
cloud,kickoff,Which items would you like to know the impact of?,NA,North_Sea,Scientist,NA,Brexit,Brexit,Brexit,spatial management,,social,1,0,0,0,1,2,,,,,83,2013
cloud,kickoff,Which items would you like to know the impact of?,NA,North_Sea,Scientist,NA,Brexit,Brexit,Brexit,spatial management,,social,1,0,0,0,1,2,,,,,84,2014
cloud,kickoff,Which items would you like to know the impact of?,NA,North_Sea,Scientist,NA,Brexit,Brexit,Brexit,spatial management,,social,1,0,0,0,1,2,,,,,85,2015
cloud,kickoff,Which items would you like to know the impact of?,NA,North_Sea,Scientist,NA,Brexit,Brexit,Brexit,spatial management,,social,1,0,0,0,1,2,,,,,86,2016
individual,kickoff,NA,NSSCI06,North_Sea,Scientist,Man,fisheries bycatch,bycatch,bycatch,PETS,top predators,ecological,0,0,1,0,1,2,,,,,87,104
cloud,NSAC,Which items would you like to know the impact of?,3c02f13bbe12d5c53baa5e29ba077425163b1a09,North_Sea,,,bycatch,bycatch,bycatch,PETS,,ecological,0,0,1,0,1,2,,,,,88,330
cloud,PELAC,Which ecological items would you like advice on?,95e7c067dd21e6402caf98eeddc75b524bbdb929,North_Sea/Western_waters,scientist,Man,bycatch,bycatch,bycatch,PETS,,ecological,0,0,1,0,1,2,,,,,89,377
cloud,PELAC,Which fisheries management measures do you think are relevant in your area?,a25759372c3dbbc30c54dc97b7f3fe1e087b5a72,North_Sea,other,Woman,Bycatch reduction measures,bycatch reduction measures,bycatch,PETS,,fisheries,1,0,0,1,1,3,,,,,90,445
cloud,PELAC,Which fisheries management measures do you think are relevant in your area?,7ed1bd0eb8abfab9e539f8a8c3f411945e23fd7d,North_Sea,,,bycatch mitigation tools,bycatch reduction measures,bycatch,PETS,,fisheries,1,0,0,1,1,3,,,,,91,456
cloud,SWWAC,Which items would you like to know the impact of?,7a82262fdb90b41e7471755877642fd52b1417f7,Western_waters,Other,Woman,BY CATCH,bycatch,bycatch,PETS,NA,ecological,0,0,1,0,1,2,,,bycatch,0,92,488
cloud,SWWAC,Which ecological items would you like advice on?,7f011b1b1bc0c5edec4d3d20bbb895bf29738ecd,Western_waters,NGO,Man,By-cath,bycatch,bycatch,PETS,NA,ecological,0,0,1,0,1,2,,,bycatch,0,93,489
cloud,SWWAC,Which items would you like to know the impact of?,7f011b1b1bc0c5edec4d3d20bbb895bf29738ecd,Western_waters,NGO,Man,Bycatch,bycatch,bycatch,PETS,NA,ecological,0,0,1,0,1,2,,,bycatch,0,94,490
cloud,SWWAC,Which ecological items would you like advice on?,95019bc933d6ea50548d65d38a2f8e638aabe566,Western_waters,NGO,Woman,Bycatch,bycatch,bycatch,PETS,NA,ecological,0,0,1,0,1,2,,,bycatch,0,95,491
cloud,SWWAC,Which items would you like to know the impact of?,95019bc933d6ea50548d65d38a2f8e638aabe566,Western_waters,NGO,Woman,Bycatch,bycatch,bycatch,PETS,NA,ecological,0,0,1,0,1,2,,,bycatch,0,96,492
cloud,SWWAC,Which ecological items would you like advice on?,95019bc933d6ea50548d65d38a2f8e638aabe566,Western_waters,NGO,Woman,Bycatch ,bycatch,bycatch,PETS,NA,ecological,0,0,1,0,1,2,,,bycatch,0,97,493
cloud,SWWAC,Which fisheries management measures do you think are relevant in your area?,7f011b1b1bc0c5edec4d3d20bbb895bf29738ecd,Western_waters,NGO,Man,Bycatch caps/limits,bycatch reduction measures,bycatch,PETS,NA,fisheries,0,0,1,0,1,2,,,bycatch,0,98,494
individual,NWWAC,NA,user003,Western_waters,Industry,Woman,PIC: fishing + impact sur l'environnement marin: captures accidentelle,bycatch,bycatch,PETS,PET spp,ecological,0,0,1,0,1,2,,,bycatch,0,99,854
individual,NWWAC,NA,user004,Western_waters,Scientist,Man,climate: by-catch,bycatch,bycatch,PETS,NA,ecological,0,0,1,0,1,2,,,climate,0,100,870
individual,SWWAC,NA,user006,Western_waters,NGO,Woman,"modelos que integren estado de las especies y medidas técnicas (pesca incidental, selectividad)",bycatch,bycatch,PETS,encourage fishing that benefits society the most: fair and sustainable,social,0,0,1,0,1,2,,,management measures,0,101,926
individual,SWWAC,NA,user007,Western_waters,NGO,Man,"on assessing the impacts a given fishery may have on different elements of the ecosystem (i.e., bycatch species, ETP species, habitats, as well as the general ecosystem and associated food webs).",bycatch,bycatch,PETS,NA,ecological,0,0,1,0,1,2,,,bycatch,0,102,943
cloud,kickoff,Which ecological items would you like advice on?,NA,Western_waters,Scientist,NA,bycatch,bycatch,bycatch,PETS,NA,ecological,0,0,1,0,1,2,,,bycatch,0,103,1005
cloud,kickoff,Which ecological items would you like advice on?,NA,Western_waters,Scientist,NA,bycatch,bycatch,bycatch,PETS,NA,ecological,0,0,1,0,1,2,,,bycatch,0,104,1006
cloud,kickoff,Which ecological items would you like advice on?,NA,Western_waters,Scientist,NA,bycatch,bycatch,bycatch,PETS,NA,ecological,0,0,1,0,1,2,,,bycatch,0,105,1007
cloud,kickoff,Which ecological items would you like advice on?,NA,Western_waters,Scientist,NA,bycatch,bycatch,bycatch,PETS,NA,ecological,0,0,1,0,1,2,,,bycatch,0,106,1008
cloud,kickoff,Which ecological items would you like advice on?,NA,Western_waters,Scientist,NA,bycatch management,bycatch reduction measures,bycatch,PETS,NA,fisheries,1,0,1,0,1,3,,,bycatch,0,107,1060
cloud,kickoff,Which items would you like to know the impact of?,NA,Western_waters,Scientist,NA,Bycatch,bycatch,bycatch,PETS,NA,ecological,0,0,1,0,1,2,,,bycatch,0,108,1166
cloud,kickoff,Which items would you like to know the impact of?,NA,Western_waters,Scientist,NA,Bycatch,bycatch,bycatch,PETS,NA,ecological,0,0,1,0,1,2,,,bycatch,0,109,1167
cloud,kickoff,Which items would you like to know the impact of?,NA,Western_waters,Scientist,NA,Bycatch,bycatch,bycatch,PETS,NA,ecological,0,0,1,0,1,2,,,bycatch,0,110,1168
cloud,kickoff,Which items would you like to know the impact of?,NA,Western_waters,Scientist,NA,Bycatch,bycatch,bycatch,PETS,NA,ecological,0,0,1,0,1,2,,,bycatch,0,111,1169
cloud,kickoff,Which items would you like to know the impact of?,NA,Western_waters,Scientist,NA,Bycatch,bycatch,bycatch,PETS,NA,ecological,0,0,1,0,1,2,,,bycatch,0,112,1170
cloud,kickoff,Which items would you like to know the impact of?,NA,Western_waters,Scientist,NA,Bycatch,bycatch,bycatch,PETS,NA,ecological,0,0,1,0,1,2,,,bycatch,0,113,1171
individual,kickoff,NA,user_dia011,Western_waters,Scientist,NA,bycatch species,bycatch,bycatch,PETS,NA,ecological,0,0,1,0,1,2,,,bycatch,0,114,1422
individual,kickoff,NA,user_dia013,Western_waters,Scientist,NA,PIC: bycatch,bycatch,bycatch,PETS,NA,ecological,0,0,1,0,1,2,,,bycatch,0,115,1503
individual,kickoff,NA,user_dia015,Western_waters,citizen,NA,concerned for the reciprocal impact of bycatch on sensitive species and on SSF's livelihoods - what is the best way to support bycatch reduction?,bycatch reduction measures,bycatch,PETS,bycatch,fisheries,1,0,0,0,1,2,,,small-scale fisheries,0,116,1526
cloud,kickoff,Which ecological items would you like advice on?,NA,North_Sea,Scientist,NA,Bycatch,bycatch,bycatch,PETS,,ecological,0,0,1,0,1,2,,,,,117,1874
individual,kickoff,NA,K12,Mediterranean,Scientist,NA,Fishing bycatch,bycatch,bycatch,PETS,Biodiversity conservation,ecological,0,0,1,1,1,3,,,,,118,2190
individual,kickoff,NA,K14,Mediterranean,Scientist,Woman,By-catches of vulnerable species in different gears/metiers,bycatch,bycatch,PETS,,ecological,0,0,1,1,1,3,,,,,119,2228
individual,BSAC,NA,BS_1,Baltic_sea,NGO,Woman,bycatch,bycatch,bycatch,PETS,,ecological,0,0,1,0,1,2,,,,,,
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,Mining/subsea cables/CO2 storage,cables,cables and pipes,non-fishing maritime activities,fishing zones,social,1,0,0,0,1,2,,,,,1,141
cloud,NSAC,Which items would you like to know the impact of?,3c02f13bbe12d5c53baa5e29ba077425163b1a09,North_Sea,,,Grid/cables,cables,cables and pipes,non-fishing maritime activities,,social,1,0,0,0,1,2,,,,,2,341
cloud,NWWAC,Which items would you like to know the impact of?,e2c26f02983f50e8cba73289f6cf35a3ff359392,Western_waters,Other,Woman,underwater cables on species,cables,cables and pipes,non-fishing maritime activities,NA,social,1,0,0,0,1,2,,,cables,0,3,783
individual,kickoff,NA,BSsci03,Baltic_Sea,Scientist,Woman,"physical structures: windfarms, gas pipes, coastal defence, fish farms, etc.",gas pipes,cables and pipes,non-fishing maritime activities,"loss, adverse effects on state, economic income/sociatal capital",social,1,0,0,0,1,2,,,,,4,1616
cloud,PELAC,Which social items would you like advice on?,95e7c067dd21e6402caf98eeddc75b524bbdb929,North_Sea/Western_waters,scientist,Man,co2 emissions,carbon emission,carbon emission,carbon management,,social,1,0,0,0,1,2,,,,,5,397
